Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT, PMax,alpha,In Use REPLICA,LOAD,COSTS,RULE,Column1,Column2
mRUBiS #1,Item Management Service,CF1,0,18480.55531,25,4,0.5,22,0,4,1.07715525,13.44823772,126.9011752,12,373,1.69,HwRedeployComponent,,
mRUBiS #1,Region Item Filter,CF5,0,4894.866505,24,2,0.5,22,1,1,1.175641639,5.323259165,154.1970896,7,4586,0.5,AddReplica,,
mRUBiS #1,Inventory Service,CF2,0,9762.030924,11,3,0.5,22,1,2,1.203441787,13.46289992,85.65241198,18,377,1.64,LwRedeployComponent,,
mRUBiS #1,Bid and Buy Service,CF3,1.82E-12,14350.52959,27,5,0.5,22,0,5,1.35613418,8.060657087,73.9594634,14,241,1.72,HwRedeployComponent,,
mRUBiS #1,Query Service,CF2,0,51254.05905,27,15,0.5,22,14,1,1.101619202,6.164631462,85.67035109,24,500,2.02,HwRedeployComponent,,
mRUBiS #1,Recommendation Item Filter,CF1,0,7650.426911,30,2,0.5,22,1,1,1.197651763,5.804851083,144.2496651,5,176,1.63,HwRedeployComponent,,
mRUBiS #1,Reputation Service,CF2,1.82E-12,16307.95995,23,4,0.5,22,0,4,1.296816708,12.90191946,123.4888734,12,352,1.69,HwRedeployComponent,,
mRUBiS #1,Comment Item Filter,CF3,0,5857.212112,23,2,0.5,22,1,1,1.055558678,5.798189426,73.83963857,6,95,1.63,HwRedeployComponent,,
mRUBiS #1,Category Item Filter,CF2,0,8541.00073,20,3,0.5,22,2,1,1.006633364,9.717121663,137.9606875,10,338,1.64,LwRedeployComponent,,
mRUBiS #1,Inventory Service,CF3,0,9762.030924,11,4,0.5,22,2,2,1.203441787,13.46289992,85.65241198,18,377,1.69,HwRedeployComponent,,
mRUBiS #1,Last Second Sales Item Filter,CF5,0,2322.939837,12,3,0.5,22,2,1,1.16044159,5.88617676,77.14137944,8,4586,0.5,AddReplica,,
mRUBiS #1,Reputation Service,CF1,1.82E-12,16307.95995,23,4,0.5,22,0,4,1.296816708,12.90191946,123.4888734,0,0,1.53,LwRedeployComponent,,
mRUBiS #1,Buy Now Item Filter,CF2,0,7311.74812,13,2,0.5,22,1,1,1.009460361,12.80042434,79.38079925,12,234,1.63,HwRedeployComponent,,
mRUBiS #1,User Management Service,CF3,3.64E-12,21275.46592,30,4,0.5,22,0,4,1.460128436,12.90307103,167.7922013,11,434,1.69,HwRedeployComponent,,
mRUBiS #1,Inventory Service,CF2,0,9762.030924,11,4,0.5,22,2,2,1.203441787,13.46289992,85.65241198,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Inventory Service,CF2,0,9762.030924,11,4,0.5,22,2,2,1.203441787,13.46289992,85.65241198,0,0,0.35,RestartComponent,,
mRUBiS #1,User Management Service,CF3,3.64E-12,21275.46592,30,4,0.5,22,0,4,1.460128436,12.90307103,167.7922013,0,0,1.69,HwRedeployComponent,,
