Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,In Use REPLICA,LOAD
mRUBiS #1,Buy Now Item Filter,CF5,9.094947017729282E-13,7306.332791156621,13.0,0.6,2,0.5,22.0,1,1,1.0094603613799904,RemoveReplica,12.80042434199084,79.38079925152111,12.0,221.0
mRUBiS #1,Authentication Service,CF2,0.0,67448.53926947457,30.0,1.7199999999999998,5,0.85,22.0,4,1,1.2112512772664892,HwRedeployComponent,15.031339523673628,79.54210604632026,12.0,229.0
mRUBiS #1,User Management Service,CF2,3.637978807091713E-12,21275.46591742011,30.0,1.64,4,0.5,22.0,0,4,1.4601284359665698,LwRedeployComponent,12.903071031381682,167.7922012582917,11.0,434.0
mRUBiS #1,Region Item Filter,CF5,0.0,5609.603275872334,24.0,0.6,2,0.5,22.0,1,1,1.175641638639615,RemoveReplica,5.323259164684098,154.1970895537866,7.0,119.0
mRUBiS #1,Item Management Service,CF1,0.0,18480.55531332465,25.0,1.53,4,0.5,22.0,0,4,1.0771552504234878,LwRedeployComponent,13.448237720602824,126.90117522485181,12.0,373.0
mRUBiS #1,User Management Service,CF2,3.637978807091713E-12,21275.46591742011,30.0,0.35,4,0.5,22.0,0,4,1.4601284359665698,RestartComponent,12.903071031381682,167.7922012582917,11.0,434.0
mRUBiS #1,Buy Now Item Filter,CF2,0.0,7306.33279115662,13.0,1.63,2,0.5,22.0,1,1,1.0094603613799904,HwRedeployComponent,12.80042434199084,79.38079925152111,11.0,221.0
mRUBiS #1,Reputation Service,CF1,1.8189894035458565E-12,16307.959951200346,23.0,1.6899999999999997,4,0.5,22.0,0,4,1.2968167080751751,HwRedeployComponent,12.901919461091776,123.4888734227509,12.0,352.0
mRUBiS #1,Buy Now Item Filter,CF5,0.0,7300.645032180885,13.0,0.6,2,0.5,22.0,1,1,1.0094603613799904,RemoveReplica,12.80042434199084,79.38079925152111,11.0,221.0
mRUBiS #1,Region Item Filter,CF5,0.0,5604.166924805616,24.0,0.6,2,0.5,22.0,1,1,1.175641638639615,RemoveReplica,5.323259164684098,154.1970895537866,6.0,202.0
mRUBiS #1,Bid and Buy Service,CF3,1.8189894035458565E-12,14350.529588085772,27.0,1.7199999999999998,5,0.5,22.0,0,5,1.3561341802413516,HwRedeployComponent,8.06065708747934,73.95946339621557,14.0,241.0
mRUBiS #1,Reputation Service,CF5,1.8189894035458565E-12,16307.959950958852,23.0,0.6,4,0.5,22.0,0,4,1.2968167080751751,RemoveReplica,12.901919461091776,123.4888734227509,12.0,106.0
mRUBiS #1,Query Service,CF1,0.0,54915.850135293906,27.0,0.35,16,0.5,22.0,15,1,1.1016192018337365,RestartComponent,6.1646314621001395,85.67035108530558,24.0,500.0
mRUBiS #1,Query Service,CF1,0.0,54915.850135293906,27.0,2.05,16,0.5,22.0,15,1,1.1016192018337365,HwRedeployComponent,6.1646314621001395,85.67035108530558,24.0,500.0
mRUBiS #1,Category Item Filter,CF3,0.0,8541.000729843436,20.0,1.63,2,0.5,22.0,1,1,1.0066333636273284,HwRedeployComponent,9.717121663045125,137.96068754082563,10.0,338.0
mRUBiS #1,Recommendation Item Filter,CF1,0.0,7650.426911490047,30.0,0.35,3,0.5,22.0,2,1,1.1976517633224057,RestartComponent,5.804851082669145,144.24966512464175,5.0,176.0
mRUBiS #1,Last Second Sales Item Filter,CF5,0.0,3055.220967836354,12.0,0.5,3,0.5,22.0,2,1,1.1604415902664231,AddReplica,5.8861767600299455,77.14137943510077,8.0,277.0
mRUBiS #1,Item Management Service,CF5,0.0,18480.55531332459,25.0,0.6,4,0.5,22.0,0,4,1.0771552504234878,RemoveReplica,13.448237720602824,126.90117522485181,12.0,82.0
mRUBiS #1,Comment Item Filter,CF2,0.0,5857.2121121485,23.0,0.35,2,0.5,22.0,1,1,1.0555586777885382,RestartComponent,5.798189425816586,73.83963856894468,6.0,95.0
