Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,In Use REPLICA,LOAD
mRUBiS #1,Item Management Service,CF1,0.0,18480.55531332465,25.0,1.6899999999999997,4,0.5,22.0,0,4,1.0771552504234878,HwRedeployComponent,13.448237720602824,126.90117522485181,12.0,373.0,

mRUBiS #1,Region Item Filter,CF5,0.0,4894.8665050278,24.0,0.5,2,0.5,22.0,1,1,1.175641638639615,AddReplica,5.323259164684098,154.1970895537866,7.0,4586.0,

mRUBiS #1,Inventory Service,CF2,0.0,9762.030924151306,11.0,1.64,3,0.5,22.0,1,2,1.2034417871620937,LwRedeployComponent,13.462899920141773,85.65241198212163,18.0,377.0,

mRUBiS #1,Bid and Buy Service,CF3,1.8189894035458565E-12,14350.529588085772,27.0,1.7199999999999998,5,0.5,22.0,0,5,1.3561341802413516,HwRedeployComponent,8.06065708747934,73.95946339621557,14.0,241.0,

mRUBiS #1,Query Service,CF2,0.0,51254.05904680642,27.0,2.02,15,0.5,22.0,14,1,1.1016192018337365,HwRedeployComponent,6.1646314621001395,85.67035108530558,24.0,500.0,

mRUBiS #1,Recommendation Item Filter,CF1,0.0,7650.426911490047,30.0,1.63,2,0.5,22.0,1,1,1.1976517633224057,HwRedeployComponent,5.804851082669145,144.24966512464175,5.0,176.0,

mRUBiS #1,Reputation Service,CF2,1.8189894035458565E-12,16307.959951200346,23.0,1.6899999999999997,4,0.5,22.0,0,4,1.2968167080751751,HwRedeployComponent,12.901919461091776,123.4888734227509,12.0,352.0,

mRUBiS #1,Comment Item Filter,CF3,0.0,5857.2121121485,23.0,1.63,2,0.5,22.0,1,1,1.0555586777885382,HwRedeployComponent,5.798189425816586,73.83963856894468,6.0,95.0,

mRUBiS #1,Category Item Filter,CF2,0.0,8541.000729843436,20.0,1.64,3,0.5,22.0,2,1,1.0066333636273284,LwRedeployComponent,9.717121663045125,137.96068754082563,10.0,338.0,

mRUBiS #1,Inventory Service,CF3,0.0,9762.030924151306,11.0,1.69,4,0.5,22.0,2,2,1.2034417871620937,HwRedeployComponent,13.462899920141773,85.65241198212163,18.0,377.0,

mRUBiS #1,Last Second Sales Item Filter,CF5,0.0,2322.939836825201,12.0,0.5,3,0.5,22.0,2,1,1.1604415902664231,AddReplica,5.8861767600299455,77.14137943510077,8.0,4586.0,

mRUBiS #1,Reputation Service,CF1,1.8189894035458565E-12,16307.959951200346,23.0,1.53,4,0.5,22.0,0,4,1.2968167080751751,LwRedeployComponent,12.901919461091776,123.4888734227509,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF2,0.0,7311.748120004961,13.0,1.63,2,0.5,22.0,1,1,1.0094603613799904,HwRedeployComponent,12.80042434199084,79.38079925152111,12.0,234.0,

mRUBiS #1,User Management Service,CF3,3.637978807091713E-12,21275.46591742011,30.0,1.6899999999999997,4,0.5,22.0,0,4,1.4601284359665698,HwRedeployComponent,12.903071031381682,167.7922012582917,11.0,434.0,

mRUBiS #1,Inventory Service,CF2,0.0,9762.030924151306,11.0,1.69,4,0.5,22.0,2,2,1.2034417871620937,HwRedeployComponent,13.462899920141773,85.65241198212163,0.0,0.0,

mRUBiS #1,Inventory Service,CF2,0.0,9762.030924151306,11.0,0.35,4,0.5,22.0,2,2,1.2034417871620937,RestartComponent,13.462899920141773,85.65241198212163,0.0,0.0,

mRUBiS #1,User Management Service,CF3,3.637978807091713E-12,21275.46591742011,30.0,1.6899999999999997,4,0.5,22.0,0,4,1.4601284359665698,HwRedeployComponent,12.903071031381682,167.7922012582917,0.0,0.0,

mRUBiS #1,Category Item Filter,CF5,0.0,7275.63470949704,20.0,0.5,3,0.5,22.0,2,1,1.0066333636273284,AddReplica,9.717121663045125,137.96068754082563,10.0,4586.0,

mRUBiS #1,Seller Reputation Item Filter,CF2,0.0,14894.546519524016,30.0,1.64,2,0.5,22.0,1,1,1.4886393972299505,LwRedeployComponent,11.295024934466905,99.0982168102818,6.0,133.0,

mRUBiS #1,Last Second Sales Item Filter,CF3,0.0,2322.939836825201,12.0,1.66,3,0.5,22.0,2,1,1.1604415902664231,HwRedeployComponent,5.8861767600299455,77.14137943510077,58.0,4586.0,

mRUBiS #1,Past Sales Item Filter,CF3,0.0,11579.686165488913,16.0,1.66,3,0.5,22.0,2,1,1.2672395839304218,HwRedeployComponent,16.46641841097758,88.50170647587598,4.0,73.0,

mRUBiS #1,Region Item Filter,CF5,0.0,4938.575604123747,24.0,0.5,2,0.5,22.0,1,1,1.175641638639615,AddReplica,5.323259164684098,154.1970895537866,40.0,4586.0,

mRUBiS #1,Bid and Buy Service,CF3,1.8189894035458565E-12,14350.529588085772,27.0,1.7199999999999998,5,0.5,22.0,0,5,1.3561341802413516,HwRedeployComponent,8.06065708747934,73.95946339621557,0.0,0.0,

mRUBiS #1,Reputation Service,CF5,0.0,13650.880904259291,23.0,0.5,4,0.5,22.0,0,4,1.2968167080751751,AddReplica,12.901919461091776,123.4888734227509,0.0,4586.0,

mRUBiS #1,Authentication Service,CF3,0.0,168639.51694284542,30.0,1.9,11,0.85,22.0,10,1,1.2112512772664892,HwRedeployComponent,15.031339523673628,79.54210604632026,12.0,229.0,

mRUBiS #1,Reputation Service,CF5,1.8189894035458565E-12,13779.400628545534,23.0,0.5,4,0.5,22.0,0,4,1.2968167080751751,AddReplica,12.901919461091776,123.4888734227509,45.0,4586.0,

mRUBiS #1,Past Sales Item Filter,CF5,0.0,9014.503928103255,16.0,0.5,3,0.5,22.0,2,1,1.2672395839304218,AddReplica,16.46641841097758,88.50170647587598,0.0,4586.0,

mRUBiS #1,Reputation Service,CF3,-1.8189894035458565E-12,13779.400628545533,23.0,1.6899999999999997,4,0.5,22.0,0,4,1.2968167080751751,HwRedeployComponent,12.901919461091776,123.4888734227509,46.0,4586.0,

mRUBiS #1,Last Second Sales Item Filter,CF2,0.0,2322.939836825201,12.0,1.66,3,0.5,22.0,2,1,1.1604415902664231,HwRedeployComponent,5.8861767600299455,77.14137943510077,0.0,0.0,

mRUBiS #1,Region Item Filter,CF3,0.0,4938.575604123746,24.0,1.63,2,0.5,22.0,1,1,1.175641638639615,HwRedeployComponent,5.323259164684098,154.1970895537866,41.0,4586.0,

mRUBiS #1,Buy Now Item Filter,CF3,0.0,7311.748120004961,13.0,1.66,3,0.5,22.0,2,1,1.0094603613799904,HwRedeployComponent,12.80042434199084,79.38079925152111,0.0,0.0,

mRUBiS #1,Past Sales Item Filter,CF3,0.0,13528.092090074535,16.0,1.69,4,0.5,22.0,3,1,1.2672395839304218,HwRedeployComponent,16.46641841097758,88.50170647587598,54.0,4586.0,

mRUBiS #1,Inventory Service,CF1,-1.8189894035458565E-12,14649.063595162768,11.0,1.53,5,0.5,22.0,3,2,1.2034417871620937,LwRedeployComponent,13.462899920141773,85.65241198212163,0.0,0.0,

mRUBiS #1,Region Item Filter,CF3,0.0,4938.575604123746,24.0,1.63,2,0.5,22.0,1,1,1.175641638639615,HwRedeployComponent,5.323259164684098,154.1970895537866,0.0,0.0,

mRUBiS #1,Item Management Service,CF3,0.0,18480.55531332465,25.0,1.6899999999999997,4,0.5,22.0,0,4,1.0771552504234878,HwRedeployComponent,13.448237720602824,126.90117522485181,0.0,0.0,

mRUBiS #1,Buy Now Item Filter,CF1,0.0,10972.669481814342,13.0,0.35,4,0.5,22.0,3,1,1.0094603613799904,RestartComponent,12.80042434199084,79.38079925152111,0.0,0.0,

mRUBiS #1,Item Management Service,CF3,0.0,18480.55531332465,25.0,1.6899999999999997,4,0.5,22.0,0,4,1.0771552504234878,HwRedeployComponent,13.448237720602824,126.90117522485181,0.0,0.0,

mRUBiS #1,Past Sales Item Filter,CF5,0.0,13528.092090074535,16.0,0.5,4,0.5,22.0,3,1,1.2672395839304218,AddReplica,16.46641841097758,88.50170647587598,0.0,4586.0,

mRUBiS #1,Region Item Filter,CF1,0.0,4938.575604123746,24.0,0.35,2,0.5,22.0,1,1,1.175641638639615,RestartComponent,5.323259164684098,154.1970895537866,0.0,0.0,

mRUBiS #1,Seller Reputation Item Filter,CF3,0.0,22349.262976272174,30.0,1.69,4,0.5,22.0,3,1,1.4886393972299505,HwRedeployComponent,11.295024934466905,99.0982168102818,6.0,133.0,

mRUBiS #1,Persistence Service,CF5,0.0,50138.171942928675,21.0,0.5,16,0.5,22.0,16,0,1.3297309527465526,AddReplica,16.94782753047918,97.04633434801788,14.0,4586.0,

