Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,In Use REPLICA,LOAD
mRUBiS #1,Last Second Sales Item Filter,CF5,4567.11135905432,7519.076309391147,12.0,0.5,2,0.5,22.0,1,1,1.1604415902664231,AddReplica,5.8861767600299455,77.14137943510077,8.0,484.0
mRUBiS #1,Seller Reputation Item Filter,CF2,21969.605643980234,36509.94935068594,30.0,0.35,2,0.5,22.0,1,1,1.4886393972299505,RestartComponent,11.295024934466905,99.0982168102818,6.0,133.0
mRUBiS #1,Category Item Filter,CF2,12597.240273169602,20936.036775471333,20.0,0.35,2,0.5,22.0,1,1,1.0066333636273284,RestartComponent,9.717121663045125,137.96068754082563,10.0,338.0
mRUBiS #1,Seller Reputation Item Filter,CF1,21278.769405299507,35853.73739838778,30.0,0.35,2,0.5,22.0,1,1,1.4886393972299505,RestartComponent,11.295024934466905,99.0982168102818,6.0,133.0
mRUBiS #1,Persistence Service,CF2,28853.65526144587,47950.34869292481,21.0,0.35,5,0.5,22.0,5,0,1.3297309527465526,RestartComponent,16.94782753047918,97.04633434801788,14.0,336.0
mRUBiS #1,Future Sales Item Filter,CF5,13269.714770427581,22041.29420855505,13.0,0.5,2,0.5,22.0,1,1,1.2402625082182024,AddReplica,15.751343425986576,151.31823850861798,2.0,246.0
mRUBiS #1,Reputation Service,CF3,24052.69557876134,39974.271528397774,23.0,1.6899999999999997,4,0.5,22.0,0,4,1.2968167080751751,HwRedeployComponent,12.901919461091776,123.4888734227509,12.0,352.0
mRUBiS #1,User Management Service,CF2,31382.25347401637,52152.47160454251,30.0,1.6899999999999997,4,0.5,22.0,0,4,1.4601284359665698,HwRedeployComponent,12.903071031381682,167.7922012582917,11.0,434.0
mRUBiS #1,Last Second Sales Item Filter,CF2,4422.870604082463,7381.807459560325,12.0,1.64,2,0.5,22.0,1,1,1.1604415902664231,LwRedeployComponent,5.8861767600299455,77.14137943510077,14.0,484.0
mRUBiS #1,Bid and Buy Service,CF3,21167.55057581574,35176.9300158937,27.0,1.7199999999999998,5,0.5,22.0,0,5,1.3561341802413516,HwRedeployComponent,8.06065708747934,73.95946339621557,14.0,241.0
mRUBiS #1,Buy Now Item Filter,CF5,10783.982261645835,17912.723062185738,13.0,0.6,2,0.5,22.0,1,1,1.0094603613799904,RemoveReplica,12.80042434199084,79.38079925152111,12.0,233.0
mRUBiS #1,Last Second Sales Item Filter,CF3,4292.272796030329,7257.571347255944,12.0,1.63,2,0.5,22.0,1,1,1.1604415902664231,HwRedeployComponent,5.8861767600299455,77.14137943510077,14.0,484.0
mRUBiS #1,Availability Item Filter,CF2,8897.714360967491,14788.128153690639,23.0,0.35,2,0.5,22.0,1,1,1.1102981576479085,RestartComponent,5.972367310611631,77.34298858308269,15.0,285.0
mRUBiS #1,Last Second Sales Item Filter,CF5,4175.281249571416,7165.496644141796,12.0,0.5,2,0.5,22.0,1,1,1.1604415902664231,AddReplica,5.8861767600299455,77.14137943510077,14.0,484.0
mRUBiS #1,Query Service,CF1,53996.171048874705,111703.78465345927,27.0,1.53,17,0.5,22.0,16,1,1.1016192018337365,LwRedeployComponent,6.1646314621001395,85.67035108530558,24.0,500.0
mRUBiS #1,Comment Item Filter,CF5,8639.835530554194,14325.102024839236,23.0,0.5,2,0.5,22.0,1,1,1.0555586777885382,AddReplica,5.798189425816586,73.83963856894468,6.0,202.0
mRUBiS #1,Recommendation Item Filter,CF3,11285.003082884437,18754.05707319122,30.0,1.63,2,0.5,22.0,1,1,1.1976517633224057,HwRedeployComponent,5.804851082669145,144.24966512464175,5.0,176.0
mRUBiS #1,Reputation Service,CF2,23299.445844144368,39258.09951095602,23.0,1.64,4,0.5,22.0,0,4,1.2968167080751751,LwRedeployComponent,12.901919461091776,123.4888734227509,12.0,352.0
mRUBiS #1,Comment Item Filter,CF2,8371.695919676937,14069.797149653748,23.0,1.63,2,0.5,22.0,1,1,1.0555586777885382,HwRedeployComponent,5.798189425816586,73.83963856894468,8.0,202.0
mRUBiS #1,Authentication Service,CF1,99486.45034705114,215928.86485714547,30.0,0.35,8,0.85,22.0,7,1,1.2112512772664892,RestartComponent,15.031339523673628,79.54210604632026,12.0,229.0
mRUBiS #1,Comment Item Filter,CF5,8126.12416686636,13800.325409147152,23.0,0.6,2,0.5,22.0,1,1,1.0555586777885382,RemoveReplica,5.798189425816586,73.83963856894468,8.0,202.0
mRUBiS #1,Inventory Service,CF3,14398.873388015265,23929.748848904157,11.0,1.69,4,0.5,22.0,2,2,1.2034417871620937,HwRedeployComponent,13.462899920141773,85.65241198212163,18.0,377.0
mRUBiS #1,Past Sales Item Filter,CF5,17080.41006652583,28325.767203970834,16.0,0.5,3,0.5,22.0,2,1,1.2672395839304218,AddReplica,16.46641841097758,88.50170647587598,4.0,179.0
mRUBiS #1,Seller Reputation Item Filter,CF2,20654.9305351853,35261.32020573097,30.0,1.64,2,0.5,22.0,1,1,1.4886393972299505,LwRedeployComponent,11.295024934466905,99.0982168102818,6.0,133.0
mRUBiS #1,Category Item Filter,CF5,12202.750185232202,20555.41058968289,20.0,0.6,3,0.5,22.0,2,1,1.0066333636273284,RemoveReplica,9.717121663045125,137.96068754082563,10.0,304.0
mRUBiS #1,Authentication Service,CF5,96364.14908143415,212720.88223238825,30.0,0.6,8,0.85,22.0,7,1,1.2112512772664892,RemoveReplica,15.031339523673628,79.54210604632026,12.0,254.0
mRUBiS #1,Past Sales Item Filter,CF2,16545.104353501585,27816.28747326607,16.0,1.66,3,0.5,22.0,2,1,1.2672395839304218,HwRedeployComponent,16.46641841097758,88.50170647587598,6.0,179.0
mRUBiS #1,Past Sales Item Filter,CF5,16060.716353664131,27251.75259975226,16.0,0.6,3,0.5,22.0,2,1,1.2672395839304218,RemoveReplica,16.46641841097758,88.50170647587598,6.0,179.0
mRUBiS #1,Query Service,CF1,52298.7873113927,113755.42297454031,27.0,1.53,18,0.5,22.0,17,1,1.1016192018337365,LwRedeployComponent,6.1646314621001395,85.67035108530558,24.0,500.0
mRUBiS #1,Last Second Sales Item Filter,CF3,4069.7923917607345,7066.599024027089,12.0,1.63,2,0.5,22.0,1,1,1.1604415902664231,HwRedeployComponent,5.8861767600299455,77.14137943510077,15.0,484.0
mRUBiS #1,Authentication Service,CF3,93543.46425909494,216971.87092323648,30.0,1.8099999999999998,8,0.9,22.0,7,1,1.2112512772664892,ReplaceComponent,15.031339523673628,79.54210604632026,11.0,254.0
mRUBiS #1,Last Second Sales Item Filter,CF5,3976.3108535745805,6957.896010001911,12.0,0.6,2,0.5,22.0,1,1,1.1604415902664231,RemoveReplica,5.8861767600299455,77.14137943510077,15.0,484.0
mRUBiS #1,Google Authentication Service,CF5,90997.46342495055,162424.53612672328,22.0,0.6,8,0.9,22.0,7,1,1.2112512772664892,RemoveReplica,11.913207967664766,105.9324130771619,11.0,254.0
mRUBiS #1,Last Second Sales Item Filter,CF3,3891.737088201887,6876.618843520357,12.0,1.63,2,0.5,22.0,1,1,1.1604415902664231,HwRedeployComponent,5.8861767600299455,77.14137943510077,14.0,484.0
mRUBiS #1,Last Second Sales Item Filter,CF5,3813.8155893654252,6822.001923736154,12.0,0.5,2,0.5,22.0,1,1,1.1604415902664231,AddReplica,5.8861767600299455,77.14137943510077,14.0,484.0
mRUBiS #1,Query Service,CF3,50772.79336883291,115964.00123681131,27.0,2.1399999999999997,19,0.5,22.0,18,1,1.1016192018337365,HwRedeployComponent,6.1646314621001395,85.67035108530558,24.0,500.0
mRUBiS #1,Seller Reputation Item Filter,CF1,20093.57559897748,34727.24100395797,30.0,1.53,2,0.5,22.0,1,1,1.4886393972299505,LwRedeployComponent,11.295024934466905,99.0982168102818,6.0,133.0
