Preditcted_Index,Preditcted_Failure,Preditcted_Affected_Component_Uid,"	Preditcted_Affected_Component","	Preditcted_Utility_Drop","	Preditcted_Rule",Preditcted_Utility_Increase,CycleID,CycleSize,Preditcted_Index2,Preditcted_Failure3,Preditcted_Affected_Component_Uid4,"	Preditcted_Affected_Component5","	Preditcted_Utility_Drop6","	Preditcted_Rule7",Preditcted_Utility_Increase8,CycleID9,CycleSize10
1,CF1,_SEu7jecdEeet0YmmfbMwkw,Bid and Buy Service,437.4540423,RestartComponent,437.4540423,1.2,7,1,CF1,_SEu7jecdEeet0YmmfbMwkw,Bid and Buy Service,437.4540423,RestartComponent,437.4540423,1.2,7
2,CF1,_SEu7g-cdEeet0YmmfbMwkw,Item Management Service,289.7406914,RestartComponent,289.7406914,1.2,7,2,CF1,_SEu7g-cdEeet0YmmfbMwkw,Item Management Service,289.7406914,RestartComponent,289.7406914,1.2,7
3,CF2,_SEu7tecdEeet0YmmfbMwkw,Availability Item Filter,226.1201415,RestartComponent,226.1201415,1.2,7,3,CF2,_SEu7tecdEeet0YmmfbMwkw,Availability Item Filter,226.1201415,RestartComponent,226.1201415,1.2,7
4,CF3,_SEvipucdEeet0YmmfbMwkw,Bid and Buy Service,195.7676128,HwRedeployComponent,195.7676128,1.2,7,4,CF3,_SEvipucdEeet0YmmfbMwkw,Bid and Buy Service,195.7676128,HwRedeployComponent,195.7676128,1.2,7
5,CF1,_SEuUO-cdEeet0YmmfbMwkw,Item Management Service,125.5866217,RestartComponent,125.5866217,1.2,7,5,CF1,_SEuUO-cdEeet0YmmfbMwkw,Item Management Service,125.5866217,RestartComponent,125.5866217,1.2,7
6,CF2,_SEuUbecdEeet0YmmfbMwkw,Availability Item Filter,101.3379421,RestartComponent,101.3379421,1.2,7,6,CF2,_SEuUbecdEeet0YmmfbMwkw,Availability Item Filter,101.3379421,RestartComponent,101.3379421,1.2,7
7,CF1,_SEuUY-cdEeet0YmmfbMwkw,Past Sales Item Filter,57.67621111,RestartComponent,57.67621111,1.2,7,7,CF1,_SEuUY-cdEeet0YmmfbMwkw,Past Sales Item Filter,57.67621111,RestartComponent,57.67621111,1.2,7
1,CF3,_SEu7iucdEeet0YmmfbMwkw,Authentication Service,702.1626308,ReplaceComponent,744.1626308,2.2,9,1,CF3,_SEu7iucdEeet0YmmfbMwkw,Authentication Service,702.1626308,ReplaceComponent,744.1626308,2.2,9
2,CF3,_SEx_HucdEeet0YmmfbMwkw,Authentication Service,463.0449973,HwRedeployComponent,463.0449973,2.2,9,2,CF3,_SEx_HucdEeet0YmmfbMwkw,Authentication Service,463.0449973,ReplaceComponent,491.0449973,2.2,9
3,CF1,_SEvio-cdEeet0YmmfbMwkw,Authentication Service,404.5182392,ReplaceComponent,429.0182392,2.2,9,3,CF1,_SEvio-cdEeet0YmmfbMwkw,Authentication Service,404.5182392,ReplaceComponent,429.0182392,2.2,9
4,CF1,_SEuUQucdEeet0YmmfbMwkw,Authentication Service,318.7844331,ReplaceComponent,338.3844331,2.2,9,4,CF1,_SEuUQucdEeet0YmmfbMwkw,Authentication Service,318.7844331,ReplaceComponent,338.3844331,2.2,9
5,CF1,_SEwwpOcdEeet0YmmfbMwkw,Authentication Service,179.5350509,ReplaceComponent,190.7350509,2.2,9,5,CF1,_SEwwpOcdEeet0YmmfbMwkw,Authentication Service,179.5350509,ReplaceComponent,190.7350509,2.2,9
6,CF1,_SExYMecdEeet0YmmfbMwkw,Authentication Service,129.9211682,ReplaceComponent,138.3211682,2.2,9,6,CF1,_SEymC-cdEeet0YmmfbMwkw,Authentication Service,130.7890115,ReplaceComponent,139.1890115,2.2,9
7,CF1,_SEymC-cdEeet0YmmfbMwkw,Authentication Service,130.7890115,ReplaceComponent,139.1890115,2.2,9,7,CF1,_SExYMecdEeet0YmmfbMwkw,Authentication Service,129.9211682,ReplaceComponent,138.3211682,2.2,9
8,CF3,_SEwJrOcdEeet0YmmfbMwkw,Authentication Service,33.58832583,ReplaceComponent,36.38832583,2.2,9,8,CF3,_SExXkecdEeet0YmmfbMwkw,Authentication Service,37.37041053,ReplaceComponent,40.17041053,2.2,9
9,CF3,_SExXkecdEeet0YmmfbMwkw,Authentication Service,37.37041053,ReplaceComponent,40.17041053,2.2,9,9,CF3,_SEwJrOcdEeet0YmmfbMwkw,Authentication Service,33.58832583,ReplaceComponent,36.38832583,2.2,9
1,CF2,_SEviuucdEeet0YmmfbMwkw,Query Service,808.434981,RestartComponent,808.434981,3.2,12,1,CF2,_SEviuucdEeet0YmmfbMwkw,Query Service,808.434981,RestartComponent,808.434981,3.2,12
