Preditcted_Index,Preditcted_Failure,Preditcted_Affected_Component_Uid,"	Preditcted_Affected_Component","	Preditcted_Utility_Drop","	Preditcted_Rule",Preditcted_Utility_Increase,CycleID,CycleSize,Optimal_Index ,Optimal_Failure,Optimal_Affected_Component_Uid,Optimal_Affected_Component,Optimal_Utility_Drop,Optimal_Rule,Optimal_Utility_Increase,CycleID,CycleSize
1,CF5,_SEu7jecdEeet0YmmfbMwkw,Bid and Buy Service,111.0647827,AddReplica,173.4966431,1.1,7,1,CF5,_SEu7jecdEeet0YmmfbMwkw,Bid and Buy Service,111.0647827,AddReplica,171.7496872,1.1,7
2,CF1,_SEuUO-cdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.306221,1.1,7,2,CF1,_SEuUO-cdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,1.1,7
3,CF1,_SEu7g-cdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,118.7711487,1.1,7,3,CF1,_SEu7g-cdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,1.1,7
4,CF1,_SEuUY-cdEeet0YmmfbMwkw,Past Sales Item Filter,96.96008424,RestartComponent,96.71607208,1.1,7,4,CF1,_SEuUY-cdEeet0YmmfbMwkw,Past Sales Item Filter,96.96008424,RestartComponent,96.96008424,1.1,7
5,CF2,_SEuUbecdEeet0YmmfbMwkw,Availability Item Filter,45.10303805,RestartComponent,45.86231232,1.1,7,5,CF2,_SEuUbecdEeet0YmmfbMwkw,Availability Item Filter,45.10303805,RestartComponent,45.10303805,1.1,7
6,CF2,_SEu7tecdEeet0YmmfbMwkw,Availability Item Filter,45.10303805,RestartComponent,45.86231232,1.1,7,6,CF2,_SEu7tecdEeet0YmmfbMwkw,Availability Item Filter,45.10303805,RestartComponent,45.10303805,1.1,7
7,CF3,_SEvipucdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,HwRedeployComponent,192.4852905,1.1,7,7,CF3,_SEvipucdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,HwRedeployComponent,192.0054015,1.1,7
1,CF5,_SEvio-cdEeet0YmmfbMwkw,Authentication Service,99.8028593,AddReplica,158.453537,2.1,9,1,CF5,_SEvio-cdEeet0YmmfbMwkw,Authentication Service,99.8028593,AddReplica,158.5657034,2.1,9
2,CF5,_SEuUQucdEeet0YmmfbMwkw,Authentication Service,96.61512726,AddReplica,133.5107269,2.1,9,2,CF5,_SEuUQucdEeet0YmmfbMwkw,Authentication Service,96.61512726,AddReplica,132.1380862,2.1,9
3,CF5,_SEwwpOcdEeet0YmmfbMwkw,Authentication Service,71.66298029,AddReplica,133.5107269,2.1,9,3,CF5,_SEwwpOcdEeet0YmmfbMwkw,Authentication Service,71.66298029,AddReplica,132.1380862,2.1,9
