,Optimal_Affected_Component_Uid,Optimal_Failure,cube
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.441
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.1985
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.787
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.127
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.3118
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.0657
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3442
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0121
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.685
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0004
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.9822
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.8899
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6615
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.0401
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.2047
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.5191
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.9115
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.246
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.8958
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.3822
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,48.4932
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,48.9774
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,48.3187
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.1621
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.334
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.9554
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.464
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,48.0393
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8354
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3413
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2619
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6161
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2793
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.374
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.5029
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.2643
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.4381
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8333
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.5532
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.8073
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4624
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.159
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1888
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.3617
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.3615
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.2922
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.072
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.1746
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.172
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3912
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3892
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8766
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.7328
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.7745
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.7621
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.379
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3176
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9263
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8933
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.4814
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6117
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8434
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.7829
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.7768
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6565
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.0976
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.2775
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.1134
68,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.4357
69,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.6989
70,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.2178
71,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.6859
72,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.4802
73,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.3492
74,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.33
75,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.4183
76,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9635
77,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2086
78,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.4007
79,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2601
80,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.7614
81,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.6656
82,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.8048
83,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.0328
84,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.7927
85,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.9088
86,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6397
87,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2733
88,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.7281
89,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6268
90,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8922
91,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.027
92,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1982
93,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.5432
94,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.7078
95,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.2717
96,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.2437
97,_SE-L2-cdEeet0YmmfbMwkw,CF1,40.8522
98,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.3077
99,_SE-L2-cdEeet0YmmfbMwkw,CF1,40.7995
100,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.1209
101,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7604
102,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.6573
103,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.0683
104,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.7752
105,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.9315
106,_SE-L4ucdEeet0YmmfbMwkw,CF1,9.0278
107,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.375
108,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3303
109,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.8892
110,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.5544
111,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.2835
112,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.997
113,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.8576
114,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.8478
115,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7811
116,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.0199
117,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.1742
118,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.0916
119,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.7863
120,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.6769
121,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0333
122,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.8929
123,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.9652
