,Optimal_Affected_Component_Uid,Optimal_Failure,ln
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.9493
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.268
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.4521
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.0724
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.0523
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.5843
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.1516
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.3644
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.6579
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.4492
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.255
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.3712
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.1988
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.8426
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.0319
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.7919
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.4559
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.9171
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4801
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.1503
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.898
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.9942
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.7971
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.2359
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.9981
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.1335
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.3682
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4263
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.2341
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.6571
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.0739
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.7053
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.2964
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.4278
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.1171
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.1007
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.4132
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.3532
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.9431
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.6366
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4584
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.8558
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.0329
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4891
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.1372
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.8876
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.3259
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.0089
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.3886
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.8177
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.8938
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.5722
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.2542
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.6513
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.0346
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.6992
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.8185
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.8033
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,56.1716
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,55.8425
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.9895
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.4367
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.9247
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.7382
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.7909
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.2375
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.5296
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.9563
68,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.401
69,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.2595
70,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.5565
71,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.3158
72,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.9327
73,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.078
74,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.7986
75,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.6395
76,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.0662
77,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.9766
78,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.5906
79,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.4149
80,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.2959
81,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.6824
82,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.9309
83,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.4867
84,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.5914
85,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.8402
86,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.7024
87,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.4959
88,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.5851
89,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.1373
90,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.5787
91,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.848
92,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.0224
93,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.0068
94,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.7839
95,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.5264
96,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.9345
97,_SE-L2-cdEeet0YmmfbMwkw,CF1,53.4219
98,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.9607
99,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.9036
100,_SE-L2-cdEeet0YmmfbMwkw,CF1,54.4203
101,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.1828
102,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.4486
103,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.3901
104,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.3199
105,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.1585
106,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7046
107,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.574
108,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.8567
109,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.6817
110,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.7297
111,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.1453
112,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.4053
113,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0581
114,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.7516
115,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.4723
116,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.5174
117,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.5505
118,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.0373
119,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.8892
120,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.118
121,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.0002
122,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.3329
123,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.6543
124,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.0658
125,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.2467
126,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.9831
127,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.7747
128,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.8497
129,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.2797
130,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.1749
131,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.1028
132,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.8936
133,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.8575
134,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0514
135,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.2275
136,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.7524
137,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.9231
138,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.5066
139,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.1743
140,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.943
141,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3246
142,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.0337
143,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.5537
144,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.2731
145,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.9851
146,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.3844
147,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.1053
148,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.3266
149,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.2916
150,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.84
151,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.9049
152,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.5907
153,_SE-L4ucdEeet0YmmfbMwkw,CF1,9.8948
154,_SE-L4ucdEeet0YmmfbMwkw,CF1,9.859
155,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.4737
156,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.6304
157,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.7176
158,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.6024
159,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.5355
160,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.0212
161,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.0177
162,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.0179
163,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.113
164,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.4611
165,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.1616
166,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.7731
167,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.8143
168,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.79
169,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7031
170,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.6594
171,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0223
172,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.6876
173,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.9154
174,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3288
175,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3795
176,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.0182
177,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.1635
178,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.561
179,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.1485
180,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.0641
181,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.6608
182,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7476
183,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.6088
184,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.5482
185,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.7854
186,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3731
187,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.6359
188,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.1859
189,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.0406
190,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.5606
191,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.3267
192,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.2278
