,Optimal_Affected_Component_Uid,Optimal_Failure,log10
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,22.459
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.7657
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.2217
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.0455
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.8742
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.3275
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,18.5903
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.1443
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,22.0326
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.6177
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.2331
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,23.9201
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,23.361
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,23.8039
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,23.2661
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.8159
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,22.544
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.3271
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.9014
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.5954
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.7061
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,22.4796
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,22.5813
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.6113
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.924
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.7369
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.4415
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.3998
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.6254
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.6113
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.1895
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.734
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.4496
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,17.816
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,16.7736
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,18.1537
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.4013
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.1333
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.9215
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.1795
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.9179
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.7817
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.1617
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,18.0289
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,18.8271
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,17.76
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,18.5892
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,18.9419
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,17.605
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,16.7527
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,18.7943
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.8795
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.0267
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.2301
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.5342
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,22.2418
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.9055
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,22.2467
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,23.1271
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.3259
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,21.326
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.2511
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,20.6666
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.8085
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,18.721
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,19.9965
