,Optimal_Affected_Component_Uid,Optimal_Failure,raw
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.519
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.2078
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.2739
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.1151
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.7597
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.992
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.7434
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.238
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.749
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.1092
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.7455
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.8198
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.0756
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.3613
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.4941
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.7634
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.1399
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.2142
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.4644
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.3559
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.9491
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.8627
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.8356
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.1096
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.3726
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,509.4629
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,509.5614
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,510.5349
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,511.5911
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,511.4006
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,511.3126
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,509.3202
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.0951
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.3962
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.7427
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.4088
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.8828
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,500.9872
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.5891
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.5755
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.4982
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.8238
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.7288
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.7747
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.7714
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.3583
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.433
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.9636
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.3704
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.1544
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.4716
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,509.31
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,509.7347
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.4813
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.302
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.93
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.0367
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.6247
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.7708
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.8925
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.7048
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,506.5958
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.472
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.4561
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.2277
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.5983
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.8483
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.436
68,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.9013
