,Optimal_Affected_Component_Uid,Optimal_Failure,sqt
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.6202
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.3211
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.0554
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,100.1557
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,100.4713
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.8136
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.7646
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.8541
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.0745
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,100.5816
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.562
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.5659
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.7202
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.7443
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.4114
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.8662
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.7284
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.9029
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.9665
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,100.8922
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.2092
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.0332
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.0189
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.4742
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.819
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.9014
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.5389
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.4819
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.5526
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.2639
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.8315
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.7234
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.9472
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.9622
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.0263
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.9197
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.829
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,95.726
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,94.9232
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,94.3014
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,93.4076
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,95.2202
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,94.9764
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.9002
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.2613
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.3297
