,Optimal_Affected_Component,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
0,Query Service,_SEwwu-cdEeet0YmmfbMwkw,CF1,4630.5814,68.0484,68.0484,3.6656,8.4404,12.177
1,Buy Now Item Filter,_SEx_ROcdEeet0YmmfbMwkw,CF5,2212.4477,47.0367,47.0367,3.3449,7.7019,11.1114
2,Last Second Sales Item Filter,_SExXrOcdEeet0YmmfbMwkw,CF2,178.6487,13.366,13.366,2.252,5.1854,7.481
3,Availability Item Filter,_SEymNucdEeet0YmmfbMwkw,CF5,209.2489,14.4654,14.4654,2.3207,5.3435,7.7091
4,Past Sales Item Filter,_SEx-n-cdEeet0YmmfbMwkw,CF3,568.9416,23.8525,23.8525,2.7551,6.3438,9.1521
5,Query Service,_SE9lfucdEeet0YmmfbMwkw,CF2,17401.0081,131.9129,131.9129,4.2406,9.7643,14.0869
6,Bid and Buy Service,_SE8W5-cdEeet0YmmfbMwkw,CF1,3443.939,58.6851,58.6851,3.5371,8.1444,11.7498
7,Region Item Filter,_SE_adecdEeet0YmmfbMwkw,CF2,2462.1357,49.6199,49.6199,3.3913,7.8088,11.2657
8,Inventory Service,_SE8Xj-cdEeet0YmmfbMwkw,CF1,2456.3035,49.5611,49.5611,3.3903,7.8064,11.2623
9,Buy Now Item Filter,_SE-zR-cdEeet0YmmfbMwkw,CF2,2062.4626,45.4143,45.4143,3.3144,7.6317,11.0102
10,Persistence Service,_SFB2pucdEeet0YmmfbMwkw,CF5,2854.3589,53.4262,53.4262,3.4555,7.9566,11.479
11,Item Management Service,_SE7ImecdEeet0YmmfbMwkw,CF1,1923.0824,43.853,43.853,3.284,7.5617,10.9092
12,Query Service,_SFB3SOcdEeet0YmmfbMwkw,CF5,2704.9147,52.0088,52.0088,3.4322,7.9028,11.4014
13,Last Second Sales Item Filter,_SE-L_ecdEeet0YmmfbMwkw,CF2,1727.5804,41.5642,41.5642,3.2374,7.4545,10.7545
14,Persistence Service,_SE9k3OcdEeet0YmmfbMwkw,CF1,1532.298,39.1446,39.1446,3.1853,7.3345,10.5815
15,Region Item Filter,_SFDr9ucdEeet0YmmfbMwkw,CF5,1952.0704,44.1822,44.1822,3.2905,7.5766,10.9308
16,Reputation Service,_SE8-M-cdEeet0YmmfbMwkw,CF1,1109.8458,33.3143,33.3143,3.0453,7.012,10.1161
17,User Management Service,_SE_a1OcdEeet0YmmfbMwkw,CF3,4573.0712,67.6245,67.6245,3.6602,8.4279,12.1589
18,Buy Now Item Filter,_SFDE5OcdEeet0YmmfbMwkw,CF5,1098.1997,33.1391,33.1391,3.0407,7.0014,10.1009
