,Optimal_Affected_Component,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
0,Authentication Service,_SEx_HucdEeet0YmmfbMwkw,CF3,491.045,22.1595,22.1595,2.6911,6.1965,8.9397
1,Query Service,_SEwwu-cdEeet0YmmfbMwkw,CF1,347.2338,18.6342,18.6342,2.5406,5.85,8.4398
2,Bid and Buy Service,_SEymDucdEeet0YmmfbMwkw,CF3,75.864,8.71,8.71,1.88,4.3289,6.2453
3,Item Management Service,_SExYKucdEeet0YmmfbMwkw,CF3,45.1763,6.7213,6.7213,1.6549,3.8106,5.4975
4,User Management Service,_SExXgOcdEeet0YmmfbMwkw,CF2,7.2983,2.7015,2.7015,0.8632,1.9876,2.8676
5,Query Service,_SE_a_OcdEeet0YmmfbMwkw,CF2,1158.3698,34.0348,34.0348,3.0638,7.0548,10.1779
6,Authentication Service,_SFDFXucdEeet0YmmfbMwkw,CF3,544.3637,23.3316,23.3316,2.7359,6.2996,9.0884
7,Authentication Service,_SE-L4ucdEeet0YmmfbMwkw,CF1,443.1578,21.0513,21.0513,2.6466,6.0939,8.7917
8,Bid and Buy Service,_SE7Io-cdEeet0YmmfbMwkw,CF1,378.6003,19.4577,19.4577,2.5782,5.9365,8.5645
9,Bid and Buy Service,_SFDryecdEeet0YmmfbMwkw,CF3,348.586,18.6705,18.6705,2.5423,5.8539,8.4454
10,Query Service,_SE8-O-cdEeet0YmmfbMwkw,CF1,345.0845,18.5765,18.5765,2.5379,5.8438,8.4308
11,Item Management Service,_SE9lYOcdEeet0YmmfbMwkw,CF1,288.4933,16.9851,16.9851,2.4601,5.6647,8.1724
12,Reputation Service,_SE8W8-cdEeet0YmmfbMwkw,CF1,287.5439,16.9571,16.9571,2.4587,5.6614,8.1676
13,Bid and Buy Service,_SFApFecdEeet0YmmfbMwkw,CF3,286.4082,16.9236,16.9236,2.457,5.6574,8.1619
14,Item Management Service,_SFACAucdEeet0YmmfbMwkw,CF2,268.5785,16.3884,16.3884,2.4291,5.5931,8.0692
15,Reputation Service,_SFB2oOcdEeet0YmmfbMwkw,CF3,267.102,16.3433,16.3433,2.4267,5.5876,8.0612
16,Query Service,_SFCdtucdEeet0YmmfbMwkw,CF3,258.0738,16.0647,16.0647,2.4117,5.5532,8.0116
17,Authentication Service,_SFAocucdEeet0YmmfbMwkw,CF2,240.195,15.4982,15.4982,2.3806,5.4815,7.9081
18,User Management Service,_SFABWOcdEeet0YmmfbMwkw,CF2,226.7944,15.0597,15.0597,2.3556,5.424,7.8252
19,Inventory Service,_SE-zLOcdEeet0YmmfbMwkw,CF2,202.041,14.2141,14.2141,2.3054,5.3085,7.6585
20,Persistence Service,_SE_aWucdEeet0YmmfbMwkw,CF2,197.3085,14.0467,14.0467,2.2951,5.2848,7.6243
21,Inventory Service,_SE7wFecdEeet0YmmfbMwkw,CF1,123.5644,11.116,11.116,2.0919,4.8168,6.9491
22,Bid and Buy Service,_SE-MhecdEeet0YmmfbMwkw,CF2,109.4518,10.4619,10.4619,2.0392,4.6955,6.7742
23,User Management Service,_SE8-s-cdEeet0YmmfbMwkw,CF1,108.8895,10.435,10.435,2.037,4.6903,6.7667
24,Persistence Service,_SE8XmecdEeet0YmmfbMwkw,CF1,107.831,10.3842,10.3842,2.0327,4.6806,6.7526
25,Reputation Service,_SE-z0OcdEeet0YmmfbMwkw,CF2,106.8745,10.338,10.338,2.0289,4.6717,6.7398
26,User Management Service,_SFCeLucdEeet0YmmfbMwkw,CF3,89.8152,9.4771,9.4771,1.9533,4.4978,6.4889
27,Item Management Service,_SFDEt-cdEeet0YmmfbMwkw,CF3,86.1582,9.2821,9.2821,1.9353,4.4562,6.4289
28,Inventory Service,_SFBPfOcdEeet0YmmfbMwkw,CF3,42.5463,6.5228,6.5228,1.6289,3.7506,5.411
29,Persistence Service,_SFB3RucdEeet0YmmfbMwkw,CF3,38.8698,6.2346,6.2346,1.5896,3.6602,5.2806
30,Query Service,_SFMO7ecdEeet0YmmfbMwkw,CF2,1337.5066,36.5719,36.5719,3.1263,7.1986,10.3853
31,Query Service,_SFE57ucdEeet0YmmfbMwkw,CF1,1155.9879,33.9998,33.9998,3.063,7.0527,10.1749
32,Query Service,_SFKaeecdEeet0YmmfbMwkw,CF2,1155.9522,33.9993,33.9993,3.0629,7.0527,10.1749
33,Authentication Service,_SFFhr-cdEeet0YmmfbMwkw,CF1,490.2514,22.1416,22.1416,2.6904,6.1949,8.9374
34,Query Service,_SFODcucdEeet0YmmfbMwkw,CF3,437.6419,20.9199,20.9199,2.6411,6.0814,8.7736
35,Query Service,_SFSVqecdEeet0YmmfbMwkw,CF3,435.2803,20.8634,20.8634,2.6388,6.076,8.7658
36,Bid and Buy Service,_SFJytecdEeet0YmmfbMwkw,CF1,407.8874,20.1962,20.1962,2.6105,6.011,8.672
37,Bid and Buy Service,_SFM2T-cdEeet0YmmfbMwkw,CF2,405.3852,20.1342,20.1342,2.6079,6.0048,8.6631
38,Authentication Service,_SFLBrucdEeet0YmmfbMwkw,CF2,389.1656,19.7273,19.7273,2.5901,5.964,8.6042
39,Inventory Service,_SFGIpOcdEeet0YmmfbMwkw,CF1,364.5622,19.0935,19.0935,2.5618,5.8987,8.51
40,Bid and Buy Service,_SFOq0-cdEeet0YmmfbMwkw,CF3,348.5625,18.6698,18.6698,2.5423,5.8538,8.4453
41,Authentication Service,_SFM1rOcdEeet0YmmfbMwkw,CF2,342.787,18.5145,18.5145,2.535,5.8371,8.4212
42,Inventory Service,_SFOre-cdEeet0YmmfbMwkw,CF3,336.7988,18.3521,18.3521,2.5274,5.8195,8.3957
43,Authentication Service,_SFJyEucdEeet0YmmfbMwkw,CF1,289.0579,17.0017,17.0017,2.461,5.6666,8.1752
44,User Management Service,_SFSWIecdEeet0YmmfbMwkw,CF3,268.7507,16.3936,16.3936,2.4293,5.5938,8.0701
45,Reputation Service,_SFKZMecdEeet0YmmfbMwkw,CF2,266.8873,16.3367,16.3367,2.4263,5.5868,8.0601
46,Item Management Service,_SFLBB-cdEeet0YmmfbMwkw,CF2,265.4099,16.2914,16.2914,2.4239,5.5813,8.0521
47,Persistence Service,_SFGvd-cdEeet0YmmfbMwkw,CF1,250.404,15.8242,15.8242,2.3986,5.5231,7.9681
48,Item Management Service,_SFOElOcdEeet0YmmfbMwkw,CF3,246.3205,15.6946,15.6946,2.3915,5.5066,7.9444
49,Authentication Service,_SFS8ZecdEeet0YmmfbMwkw,CF3,239.3379,15.4705,15.4705,2.379,5.4779,7.9029
50,Bid and Buy Service,_SFS9COcdEeet0YmmfbMwkw,CF3,227.4574,15.0817,15.0817,2.3569,5.427,7.8295
51,Inventory Service,_SFM29-cdEeet0YmmfbMwkw,CF2,202.8291,14.2418,14.2418,2.3071,5.3124,7.6641
52,Item Management Service,_SFJK--cdEeet0YmmfbMwkw,CF1,188.6241,13.734,13.734,2.2756,5.2398,7.5594
53,Item Management Service,_SFMQD-cdEeet0YmmfbMwkw,CF2,167.2312,12.9318,12.9318,2.2233,5.1194,7.3857
54,Bid and Buy Service,_SFGH_OcdEeet0YmmfbMwkw,CF1,167.0054,12.9231,12.9231,2.2227,5.118,7.3838
55,Reputation Service,_SFGu0ecdEeet0YmmfbMwkw,CF1,165.9984,12.884,12.884,2.2201,5.112,7.375
56,Persistence Service,_SFKZ1-cdEeet0YmmfbMwkw,CF2,164.1224,12.811,12.811,2.2152,5.1006,7.3586
57,Inventory Service,_SFJzXecdEeet0YmmfbMwkw,CF1,149.3547,12.2211,12.2211,2.1742,5.0063,7.2226
58,User Management Service,_SFE6ZucdEeet0YmmfbMwkw,CF1,148.7136,12.1948,12.1948,2.1724,5.002,7.2164
59,Item Management Service,_SFFhCOcdEeet0YmmfbMwkw,CF1,146.449,12.1016,12.1016,2.1657,4.9867,7.1943
60,Authentication Service,_SFOFO-cdEeet0YmmfbMwkw,CF3,138.9439,11.7874,11.7874,2.1428,4.9341,7.1184
61,Persistence Service,_SEtGF-cdEeet0YmmfbMwkw,CF3,128.8287,11.3503,11.3503,2.11,4.8585,7.0093
62,User Management Service,_SFOD6ucdEeet0YmmfbMwkw,CF3,126.6025,11.2518,11.2518,2.1024,4.8411,6.9842
63,Inventory Service,_SFS9sOcdEeet0YmmfbMwkw,CF3,94.7645,9.7347,9.7347,1.9766,4.5514,6.5663
64,Persistence Service,_SFETG-cdEeet0YmmfbMwkw,CF1,94.0289,9.6969,9.6969,1.9733,4.5436,6.555
65,Reputation Service,_SFNc_OcdEeet0YmmfbMwkw,CF3,85.9429,9.2705,9.2705,1.9342,4.4537,6.4253
66,Query Service,_SFGwGecdEeet0YmmfbMwkw,CF1,77.1903,8.7858,8.7858,1.8876,4.3463,6.2703
67,Persistence Service,_SFNdoucdEeet0YmmfbMwkw,CF3,76.9936,8.7746,8.7746,1.8865,4.3437,6.2667
68,Bid and Buy Service,_SFLnRecdEeet0YmmfbMwkw,CF2,76.8255,8.765,8.765,1.8855,4.3415,6.2635
69,Reputation Service,_SFS-VOcdEeet0YmmfbMwkw,CF3,69.0217,8.3079,8.3079,1.839,4.2344,6.109
70,Reputation Service,_SFESdecdEeet0YmmfbMwkw,CF1,66.2483,8.1393,8.1393,1.8212,4.1934,6.0498
71,Persistence Service,_SFMOS-cdEeet0YmmfbMwkw,CF2,57.4807,7.5816,7.5816,1.7595,4.0514,5.845
72,Reputation Service,_SFOsH-cdEeet0YmmfbMwkw,CF3,47.7388,6.9093,6.9093,1.6789,3.8657,5.5771
73,Reputation Service,_SFLokecdEeet0YmmfbMwkw,CF2,47.4654,6.8895,6.8895,1.6764,3.86,5.5688
74,User Management Service,_SFGwkecdEeet0YmmfbMwkw,CF1,27.5811,5.2518,5.2518,1.4406,3.3171,4.7856
75,User Management Service,_SFLAXecdEeet0YmmfbMwkw,CF2,26.5967,5.1572,5.1572,1.4248,3.2808,4.7332
76,Item Management Service,_SFSWy-cdEeet0YmmfbMwkw,CF3,26.3602,5.1342,5.1342,1.4209,3.2719,4.7203
77,Persistence Service,_SFSVB-cdEeet0YmmfbMwkw,CF3,23.1017,4.8064,4.8064,1.3636,3.1399,4.5299
78,Inventory Service,_SFLn7ecdEeet0YmmfbMwkw,CF2,12.8765,3.5884,3.5884,1.1098,2.5554,3.6867
79,User Management Service,_SFMPZecdEeet0YmmfbMwkw,CF2,6.5124,2.5519,2.5519,0.8137,1.8737,2.7032
80,Bid and Buy Service,_SEx_IecdEeet0YmmfbMwkw,CF3,287.1689,16.9461,16.9461,2.4581,5.6601,8.1658
81,Authentication Service,_SExYMecdEeet0YmmfbMwkw,CF2,176.1212,13.2711,13.2711,2.2458,5.1712,7.4604
82,Inventory Service,_SEymFucdEeet0YmmfbMwkw,CF3,70.0623,8.3703,8.3703,1.8455,4.2494,6.1306
83,Inventory Service,_SEzNCecdEeet0YmmfbMwkw,CF3,15.2894,3.9102,3.9102,1.1844,2.7272,3.9345
84,User Management Service,_SExXgOcdEeet0YmmfbMwkw,CF1,7.2983,2.7015,2.7015,0.8632,1.9876,2.8676
85,Query Service,_SE_a_OcdEeet0YmmfbMwkw,CF2,1158.3698,34.0348,34.0348,3.0638,7.0548,10.1779
86,Query Service,_SE8-O-cdEeet0YmmfbMwkw,CF1,345.0845,18.5765,18.5765,2.5379,5.8438,8.4308
87,Bid and Buy Service,_SFDFYecdEeet0YmmfbMwkw,CF3,319.906,17.8859,17.8859,2.505,5.768,8.3215
88,Inventory Service,_SFDr0ecdEeet0YmmfbMwkw,CF3,313.9455,17.7185,17.7185,2.4969,5.7492,8.2944
89,Authentication Service,_SFDEvucdEeet0YmmfbMwkw,CF3,303.6253,17.4248,17.4248,2.4823,5.7158,8.2461
90,Item Management Service,_SE9lYOcdEeet0YmmfbMwkw,CF1,288.4933,16.9851,16.9851,2.4601,5.6647,8.1724
91,Reputation Service,_SE8W8-cdEeet0YmmfbMwkw,CF1,287.5439,16.9571,16.9571,2.4587,5.6614,8.1676
92,Persistence Service,_SFB2pucdEeet0YmmfbMwkw,CF3,280.1762,16.7385,16.7385,2.4474,5.6354,8.1302
93,Item Management Service,_SFACAucdEeet0YmmfbMwkw,CF2,268.5785,16.3884,16.3884,2.4291,5.5931,8.0692
94,Inventory Service,_SFApHecdEeet0YmmfbMwkw,CF2,259.7735,16.1175,16.1175,2.4146,5.5598,8.0211
95,Bid and Buy Service,_SE-L5ecdEeet0YmmfbMwkw,CF1,258.117,16.066,16.066,2.4118,5.5534,8.0119
96,Query Service,_SFB3SOcdEeet0YmmfbMwkw,CF3,257.1141,16.0348,16.0348,2.4101,5.5495,8.0063
97,User Management Service,_SFABWOcdEeet0YmmfbMwkw,CF2,226.7944,15.0597,15.0597,2.3556,5.424,7.8252
98,Inventory Service,_SE-zLOcdEeet0YmmfbMwkw,CF2,202.041,14.2141,14.2141,2.3054,5.3085,7.6585
99,Persistence Service,_SE_aWucdEeet0YmmfbMwkw,CF2,197.3085,14.0467,14.0467,2.2951,5.2848,7.6243
100,Inventory Service,_SFDscecdEeet0YmmfbMwkw,CF3,151.8691,12.3235,12.3235,2.1815,5.023,7.2467
101,Bid and Buy Service,_SFAodecdEeet0YmmfbMwkw,CF2,135.4165,11.6369,11.6369,2.1317,4.9084,7.0813
102,Inventory Service,_SE7wFecdEeet0YmmfbMwkw,CF1,123.5644,11.116,11.116,2.0919,4.8168,6.9491
103,Bid and Buy Service,_SE-MhecdEeet0YmmfbMwkw,CF1,109.4518,10.4619,10.4619,2.0392,4.6955,6.7742
104,User Management Service,_SE8-s-cdEeet0YmmfbMwkw,CF1,108.8895,10.435,10.435,2.037,4.6903,6.7667
105,Persistence Service,_SE8XmecdEeet0YmmfbMwkw,CF1,107.831,10.3842,10.3842,2.0327,4.6806,6.7526
106,Reputation Service,_SE-z0OcdEeet0YmmfbMwkw,CF2,106.8745,10.338,10.338,2.0289,4.6717,6.7398
107,Item Management Service,_SFCeOOcdEeet0YmmfbMwkw,CF3,86.6455,9.3084,9.3084,1.9377,4.4618,6.4371
108,Last Second Sales Item Filter,_SFCduucdEeet0YmmfbMwkw,CF3,48.6215,6.9729,6.9729,1.6868,3.8841,5.6035
109,Reputation Service,_SFBPgOcdEeet0YmmfbMwkw,CF3,29.6528,5.4454,5.4454,1.4721,3.3896,4.8901
110,Query Service,_SFMO7ecdEeet0YmmfbMwkw,CF2,1337.5066,36.5719,36.5719,3.1263,7.1986,10.3853
111,Query Service,_SFE57ucdEeet0YmmfbMwkw,CF1,1155.9879,33.9998,33.9998,3.063,7.0527,10.1749
112,Query Service,_SFKaeecdEeet0YmmfbMwkw,CF2,1155.9522,33.9993,33.9993,3.0629,7.0527,10.1749
113,Authentication Service,_SFOEm-cdEeet0YmmfbMwkw,CF3,808.6845,28.4374,28.4374,2.9078,6.6954,9.6594
114,Query Service,_SEtGGecdEeet0YmmfbMwkw,CF3,708.0253,26.6087,26.6087,2.85,6.5625,9.4677
115,Query Service,_SEuUWecdEeet0YmmfbMwkw,CF3,617.2332,24.8442,24.8442,2.7904,6.4252,9.2697
116,Query Service,_SFNdpOcdEeet0YmmfbMwkw,CF3,439.0278,20.953,20.953,2.6425,6.0846,8.7782
117,Bid and Buy Service,_SFJytecdEeet0YmmfbMwkw,CF1,407.8874,20.1962,20.1962,2.6105,6.011,8.672
118,Bid and Buy Service,_SFM2T-cdEeet0YmmfbMwkw,CF2,405.3852,20.1342,20.1342,2.6079,6.0048,8.6631
