,Optimal_Affected_Component_Uid,Optimal_Failure,cube
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3832
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2234
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.79
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8502
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9661
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0606
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8791
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5262
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3557
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0237
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5643
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8332
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8091
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8348
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0619
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8473
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3719
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3905
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.1984
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.7456
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1662
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8083
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.5971
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.7923
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5378
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2042
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2383
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0018
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.897
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9651
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.7735
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.7978
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5669
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9728
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0197
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6461
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3828
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8242
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3101
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.696
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2833
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1994
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5348
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0315
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2017
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6223
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0013
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5842
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.7602
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1778
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4139
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3029
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8048
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2608
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6882
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1602
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6164
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4535
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0767
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.7717
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2282
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8665
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6667
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8324
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6515
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6816
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9706
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3626
68,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3283
69,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3174
70,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1508
71,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.301
72,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0702
73,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2574
74,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.7061
75,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8021
76,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.3236
77,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3666
78,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.784
79,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0843
80,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8608
81,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3967
82,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6433
83,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2446
84,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.3424
85,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.622
86,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0855
87,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8179
88,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.3161
