,Optimal_Affected_Component_Uid,Optimal_Failure,ln
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.275
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.5182
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.0127
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.1004
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.1013
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.3691
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4187
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.933
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.016
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.3398
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.0949
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.7269
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.8335
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4221
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.5502
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.5042
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.2438
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.6231
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.8415
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.463
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.2501
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.7261
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.6968
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4116
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.1408
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.6734
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.0585
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,52.5666
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.5785
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.2041
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.9683
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.0177
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.7187
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.3278
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4599
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.8056
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.1555
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.9093
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.5587
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.5983
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.5249
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.7563
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.307
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.4606
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.477
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.3884
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,50.3638
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.6847
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,51.7852
