,Optimal_Affected_Component_Uid,Optimal_Failure,log2
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.4527
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.8553
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2187
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.8964
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.1482
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.4942
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5131
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.7531
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.7301
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.1946
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5466
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.8459
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.2325
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5812
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.1613
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.4519
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3617
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.7528
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.5568
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.4518
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.9419
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3419
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.9842
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.1343
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.0954
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.1611
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.7098
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.4644
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.8952
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.6445
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.4922
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5768
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.0027
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.9806
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.0308
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.7993
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.0243
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.9456
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.6447
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2037
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.9969
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5404
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.1746
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.1369
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.9661
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.4852
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.1252
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.0355
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.4659
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.6933
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5606
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2168
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.8584
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.6747
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.8023
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.1626
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.2804
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.8152
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3435
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.3665
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.3961
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.6241
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3148
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5604
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.9561
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.9323
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2725
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.9701
68,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.5897
69,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3268
70,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.9241
71,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3065
72,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.1168
73,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.6386
74,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5162
75,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.5308
76,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.2466
77,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.14
78,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.6819
79,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.8885
80,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.0591
81,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.6467
82,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.7063
83,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2645
84,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.4111
85,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.0628
86,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.9145
87,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.5349
88,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.2072
89,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.0698
90,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.4216
91,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3786
92,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.3672
93,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.6746
94,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.0502
95,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2125
96,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2079
97,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.0419
98,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.9822
99,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2187
100,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.5617
101,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.29
102,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.8581
103,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.489
104,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.5253
105,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0532
106,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.2274
107,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.9266
108,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.7735
109,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.2629
110,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.835
111,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.7566
112,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.8539
113,_SE-L4ucdEeet0YmmfbMwkw,CF1,9.1675
114,_SE-L4ucdEeet0YmmfbMwkw,CF1,9.1457
115,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.3557
116,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.524
117,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.7015
118,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.6956
119,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.3532
120,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0826
121,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.299
122,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.4611
123,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.4894
124,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.3554
125,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.967
126,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.3742
127,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.8134
128,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0156
129,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.5862
130,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.973
131,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.5873
132,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.2488
133,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.9455
134,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0667
135,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.8975
136,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.8926
137,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.9905
138,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.1614
139,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.266
140,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.4523
141,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.3364
142,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.4869
143,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.1943
144,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.3204
145,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.2218
146,_SE-L4ucdEeet0YmmfbMwkw,CF1,9.5179
147,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.6043
148,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.2383
149,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.0413
