,Optimal_Affected_Component_Uid,Optimal_Failure,sqt
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.1691
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.4113
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.7662
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.646
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.9492
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.9738
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.7069
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.3029
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.496
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.995
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.0993
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.8172
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,100.3948
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.9001
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.5319
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.1065
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.6482
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.4166
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.2106
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,95.7506
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.6812
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.324
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.5719
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.459
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.189
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.4229
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.7575
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.6883
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.3361
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.4908
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.9921
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,100.5178
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,100.8505
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,100.2055
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.188
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.9159
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.8711
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.5723
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.7953
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.9599
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.5625
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,94.8993
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.2379
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.8279
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.9041
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.1687
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.6031
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.1487
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.3459
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.4593
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.6993
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.222
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.2826
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.3124
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.1681
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.12
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.3721
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.8463
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.4023
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.7552
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.932
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,96.8579
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.933
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.6748
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.2671
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.5501
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,98.1465
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.3591
68,_SE-L2-cdEeet0YmmfbMwkw,CF1,99.3681
69,_SE-L2-cdEeet0YmmfbMwkw,CF1,97.3348
