,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
0,_SEwwu-cdEeet0YmmfbMwkw,CF1,1323.5038,50.1595,135.9106,17.6652,39.5903,52.7218
1,_SExXgOcdEeet0YmmfbMwkw,CF2,26.2559,3.9161,6.0728,2.3273,4.2519,5.7073
2,_SEx_HucdEeet0YmmfbMwkw,CF3,61.9029,5.7644,10.1652,3.3863,6.1868,8.3626
3,_SEymDucdEeet0YmmfbMwkw,CF3,50.3732,5.2532,8.9893,3.1148,5.6969,7.6766
4,_SExYKucdEeet0YmmfbMwkw,CF3,26.2599,3.9201,6.0768,2.3313,4.2559,5.7113
5,_SE8-O-cdEeet0YmmfbMwkw,CF1,97.765,6.8399,13.0855,3.8212,7.1657,9.7431
6,_SE_a_OcdEeet0YmmfbMwkw,CF2,97.769,6.8439,13.0895,3.8252,7.1697,9.7471
7,_SE7Io-cdEeet0YmmfbMwkw,CF1,50.3592,5.2392,8.9753,3.1008,5.6829,7.6626
8,_SE-MhecdEeet0YmmfbMwkw,CF2,50.3532,5.2332,8.9693,3.0948,5.6769,7.6566
9,_SE8XmecdEeet0YmmfbMwkw,CF1,27.9399,4.1765,6.4401,2.5582,4.5255,6.0206
10,_SE_aWucdEeet0YmmfbMwkw,CF2,27.9419,4.1785,6.4421,2.5602,4.5275,6.0226
11,_SE8W8-cdEeet0YmmfbMwkw,CF1,26.2279,3.8881,6.0448,2.3033,4.2239,5.6793
12,_SE8-s-cdEeet0YmmfbMwkw,CF1,26.2259,3.8861,6.0428,2.4873,4.2219,5.6773
13,_SE9lYOcdEeet0YmmfbMwkw,CF1,26.2329,3.8931,6.0498,2.4893,4.2289,5.6843
14,_SE-z0OcdEeet0YmmfbMwkw,CF2,26.1949,3.8551,6.0118,2.2763,4.1909,5.6463
15,_SFABWOcdEeet0YmmfbMwkw,CF2,26.2689,3.9291,6.0858,2.4933,4.2649,5.7203
16,_SFACAucdEeet0YmmfbMwkw,CF2,26.2739,3.9341,6.0908,2.4943,4.2699,5.7253
17,_SE7wFecdEeet0YmmfbMwkw,CF1,14.092,3.1511,4.4272,1.8803,3.3537,4.4669
18,_SE-zLOcdEeet0YmmfbMwkw,CF2,14.09,3.1491,4.4262,1.8783,3.3517,4.4659
19,_SFCdtucdEeet0YmmfbMwkw,CF3,97.773,6.8479,13.0935,3.8292,7.1737,9.7511
20,_SE-L4ucdEeet0YmmfbMwkw,CF1,61.8889,5.7604,10.1512,3.3823,6.1828,8.3486
21,_SFAocucdEeet0YmmfbMwkw,CF2,61.9079,5.7664,10.1702,3.3883,6.1888,8.3676
22,_SFDFXucdEeet0YmmfbMwkw,CF3,61.9109,5.7684,10.1732,3.3903,6.1908,8.3706
23,_SFApFecdEeet0YmmfbMwkw,CF3,50.3772,5.2572,8.9933,3.1188,5.6999,7.6796
24,_SFDryecdEeet0YmmfbMwkw,CF3,50.3822,5.2622,8.9983,3.1238,5.7049,7.6846
25,_SFB3RucdEeet0YmmfbMwkw,CF3,27.9529,4.1895,6.4531,2.5702,4.5385,6.0336
26,_SFB2oOcdEeet0YmmfbMwkw,CF3,26.2839,3.9441,6.1008,2.3503,4.2799,5.7353
27,_SFCeLucdEeet0YmmfbMwkw,CF3,26.2939,3.9541,6.1108,2.3593,4.2899,5.7453
28,_SFDEt-cdEeet0YmmfbMwkw,CF3,26.2989,3.9591,6.1158,2.3643,4.2949,5.7503
29,_SFBPfOcdEeet0YmmfbMwkw,CF3,14.098,3.1571,4.4302,1.8863,3.3597,4.4699
30,_SFE57ucdEeet0YmmfbMwkw,CF1,97.774,6.8489,13.0945,3.8302,7.1747,9.7521
31,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779,6.8539,13.0995,3.8352,7.1797,9.7571
32,_SFKaeecdEeet0YmmfbMwkw,CF2,97.786,6.8609,13.1065,3.8422,7.1867,9.7641
33,_SFMO7ecdEeet0YmmfbMwkw,CF2,97.793,6.8749,13.1205,3.8172,7.2007,9.7711
34,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912,5.2712,9.0073,3.1328,5.7129,7.7316
35,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002,5.2802,9.0163,3.1418,5.7209,7.7336
36,_SFLnRecdEeet0YmmfbMwkw,CF2,50.4112,5.2912,9.0273,3.1528,5.7309,7.7356
37,_SFM2T-cdEeet0YmmfbMwkw,CF2,50.4162,5.2962,9.0323,3.1578,5.7349,7.7376
38,_SFETG-cdEeet0YmmfbMwkw,CF1,27.9549,4.1915,6.4551,2.5722,4.5405,6.0356
39,_SFGvd-cdEeet0YmmfbMwkw,CF1,27.9579,4.1945,6.4581,2.5852,4.5435,6.0386
40,_SFKZ1-cdEeet0YmmfbMwkw,CF2,27.9599,4.1965,6.4601,2.5762,4.5455,6.0406
41,_SFMOS-cdEeet0YmmfbMwkw,CF2,27.9649,4.2015,6.4651,2.5872,4.5505,6.0456
42,_SFESdecdEeet0YmmfbMwkw,CF1,26.3219,3.9821,6.1388,2.3853,4.3179,5.7733
43,_SFE6ZucdEeet0YmmfbMwkw,CF1,26.3149,3.9751,6.1318,2.3793,4.3109,5.7663
44,_SFFhCOcdEeet0YmmfbMwkw,CF1,26.3249,3.9851,6.1418,2.5003,4.3209,5.7763
45,_SFGu0ecdEeet0YmmfbMwkw,CF1,26.3349,3.9951,6.1518,2.5023,4.3309,5.7863
46,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429,4.0031,6.1598,2.5043,4.3389,5.7943
47,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469,4.0071,6.1638,2.5063,4.3429,5.7983
48,_SFKZMecdEeet0YmmfbMwkw,CF2,26.3589,4.0191,6.1758,2.4153,4.3549,5.8103
49,_SFLAXecdEeet0YmmfbMwkw,CF2,26.3669,4.0271,6.1838,2.4233,4.3629,5.8183
50,_SFLBB-cdEeet0YmmfbMwkw,CF2,26.3719,4.0321,6.1888,2.4283,4.3679,5.8233
51,_SFLokecdEeet0YmmfbMwkw,CF2,26.3849,4.0451,6.2018,2.5093,4.3809,5.8363
52,_SFMPZecdEeet0YmmfbMwkw,CF2,26.3899,4.0501,6.2068,2.5103,4.3859,5.8413
53,_SFMQD-cdEeet0YmmfbMwkw,CF2,26.3939,4.0541,6.2108,2.5113,4.3899,5.8453
54,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.101,3.1601,4.4212,1.8893,3.3627,4.4609
55,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104,3.1631,4.4222,1.8923,3.3657,4.4619
56,_SFLn7ecdEeet0YmmfbMwkw,CF2,14.109,3.1681,4.4232,1.8973,3.3707,4.4629
57,_SFM29-cdEeet0YmmfbMwkw,CF2,14.111,3.1701,4.4242,1.8993,3.3727,4.4639
58,_SFODcucdEeet0YmmfbMwkw,CF3,97.799,6.8729,13.1185,3.8542,7.1987,9.7771
59,_SFSVqecdEeet0YmmfbMwkw,CF3,97.801,6.8749,13.1205,3.8562,7.2007,9.7791
60,_SFFhr-cdEeet0YmmfbMwkw,CF1,61.9129,5.7704,10.1752,3.3923,6.1928,8.3726
61,_SFJyEucdEeet0YmmfbMwkw,CF1,1497.4935,72.0641,186.1577,27.6598,62.6995,83.0184
62,_SFLBrucdEeet0YmmfbMwkw,CF2,61.9159,5.7734,10.1782,3.3953,6.1958,8.3756
63,_SFM1rOcdEeet0YmmfbMwkw,CF2,61.9179,5.7744,10.1802,3.3963,6.1968,8.3776
64,_SFOFO-cdEeet0YmmfbMwkw,CF3,61.9269,5.7774,10.1892,3.3993,6.1998,8.3866
65,_SFS8ZecdEeet0YmmfbMwkw,CF3,61.9279,5.7784,10.1902,3.4003,6.2008,8.3876
66,_SFOq0-cdEeet0YmmfbMwkw,CF3,50.4242,5.3042,9.0403,3.1658,5.7429,7.7186
67,_SFS9COcdEeet0YmmfbMwkw,CF3,50.4282,5.3082,9.0443,3.1698,5.7469,7.7226
68,_SFNdoucdEeet0YmmfbMwkw,CF3,27.9679,4.2045,6.4681,2.5822,4.5535,6.0486
69,_SFSVB-cdEeet0YmmfbMwkw,CF3,27.9689,4.2055,6.4691,2.5832,4.5545,6.0496
70,_SEtGF-cdEeet0YmmfbMwkw,CF3,27.9429,4.1795,6.4431,2.5612,4.5285,6.0236
71,_SFNc_OcdEeet0YmmfbMwkw,CF3,26.3949,4.0551,6.2118,2.4463,4.3909,5.8463
72,_SFOD6ucdEeet0YmmfbMwkw,CF3,26.3999,4.0601,6.2168,2.4513,4.3959,5.8513
73,_SFOElOcdEeet0YmmfbMwkw,CF3,26.4039,4.0641,6.2208,2.4553,4.3999,5.8553
74,_SFOsH-cdEeet0YmmfbMwkw,CF3,26.4129,4.0731,6.2298,2.4643,4.4089,5.8643
75,_SFSWIecdEeet0YmmfbMwkw,CF3,26.4259,4.0861,6.2428,2.4773,4.4219,5.8773
76,_SFSWy-cdEeet0YmmfbMwkw,CF3,26.4309,4.0911,6.2478,2.4823,4.4269,5.8823
77,_SFS-VOcdEeet0YmmfbMwkw,CF3,26.4139,4.0741,6.2308,2.4653,4.4099,5.8653
78,_SFOre-cdEeet0YmmfbMwkw,CF3,14.118,3.1771,4.4362,1.9063,3.3797,4.4759
79,_SFS9sOcdEeet0YmmfbMwkw,CF3,14.119,3.1781,4.4372,1.9073,3.3807,4.4769
80,_SExXgOcdEeet0YmmfbMwkw,CF1,26.2549,3.9151,6.0718,2.3263,4.2509,5.7063
81,_SExYMecdEeet0YmmfbMwkw,CF2,77.1415,6.2602,11.4875,3.5955,6.6679,9.0265
82,_SEx_IecdEeet0YmmfbMwkw,CF3,50.3722,5.2522,8.9883,3.1138,5.6959,7.6756
83,_SEymFucdEeet0YmmfbMwkw,CF3,498.9731,44.0336,97.657,22.245,50.4568,66.6387
84,_SEzNCecdEeet0YmmfbMwkw,CF3,14.096,3.1551,4.4282,1.8843,3.3577,4.4679
85,_SE8-O-cdEeet0YmmfbMwkw,CF1,97.765,6.8399,13.0855,3.8212,7.1657,9.7431
86,_SE_a_OcdEeet0YmmfbMwkw,CF2,97.769,6.8439,13.0895,3.8252,7.1697,9.7471
87,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512,5.2312,8.9673,3.0928,5.7529,7.7286
88,_SE-MhecdEeet0YmmfbMwkw,CF1,50.3522,5.2322,8.9683,3.0938,5.6759,7.6556
89,_SFAodecdEeet0YmmfbMwkw,CF2,50.3762,5.2562,8.9923,3.1178,5.7539,7.7296
90,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749,4.236,6.5344,2.6055,4.5887,6.0962
91,_SE8XmecdEeet0YmmfbMwkw,CF1,27.9399,4.1765,6.4401,2.5582,4.5255,6.0206
92,_SE_aWucdEeet0YmmfbMwkw,CF2,27.9419,4.1785,6.4421,2.5602,4.5275,6.0226
93,_SE8W8-cdEeet0YmmfbMwkw,CF1,26.2279,3.8881,6.0448,2.3033,4.2239,5.6793
94,_SE8-s-cdEeet0YmmfbMwkw,CF1,26.2259,3.8861,6.0428,2.4873,4.2219,5.6773
95,_SE9lYOcdEeet0YmmfbMwkw,CF1,26.2329,3.8931,6.0498,2.4893,4.2289,5.6843
96,_SE-z0OcdEeet0YmmfbMwkw,CF2,26.1949,3.8551,6.0118,2.2763,4.1909,5.6463
97,_SFABWOcdEeet0YmmfbMwkw,CF2,26.2689,3.9291,6.0858,2.4933,4.2649,5.7203
98,_SFACAucdEeet0YmmfbMwkw,CF2,26.2739,3.9341,6.0908,2.4943,4.2699,5.7253
99,_SE7wFecdEeet0YmmfbMwkw,CF1,14.092,3.1511,4.4272,1.8803,3.3537,4.4669
100,_SE-zLOcdEeet0YmmfbMwkw,CF2,14.09,3.1491,4.4262,1.8783,3.3517,4.4659
101,_SFB3SOcdEeet0YmmfbMwkw,CF3,97.772,6.8469,13.0925,3.8282,7.1727,9.7501
102,_SFDEvucdEeet0YmmfbMwkw,CF3,1417.7231,73.0846,185.6479,28.9478,65.6254,86.8945
103,_SFDFYecdEeet0YmmfbMwkw,CF3,50.3812,5.2612,8.9973,3.1228,5.7039,7.6836
104,_SFB2pucdEeet0YmmfbMwkw,CF3,781.0737,59.4735,137.1534,28.1537,63.9781,84.5756
105,_SFDr0ecdEeet0YmmfbMwkw,CF3,982.4831,84.7929,190.6713,42.5201,97.4226,128.639
106,_SFBPgOcdEeet0YmmfbMwkw,CF3,26.2889,3.9491,6.1058,2.3543,4.2849,5.7403
107,_SFCeOOcdEeet0YmmfbMwkw,CF3,26.2959,3.9561,6.1128,2.3613,4.2919,5.7473
108,_SFCduucdEeet0YmmfbMwkw,CF3,15.627,3.2712,4.659,1.9611,3.4941,4.6509
109,_SFDscecdEeet0YmmfbMwkw,CF3,14.099,3.1581,4.4312,1.8873,3.3607,4.4709
110,_SFE57ucdEeet0YmmfbMwkw,CF1,97.774,6.8489,13.0945,3.8302,7.1747,9.7521
111,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779,6.8539,13.0995,3.8352,7.1797,9.7571
112,_SFKaeecdEeet0YmmfbMwkw,CF2,97.786,6.8609,13.1065,3.8422,7.1867,9.7641
113,_SFMO7ecdEeet0YmmfbMwkw,CF2,97.793,6.8749,13.1205,3.8172,7.2007,9.7711
114,_SFFhsucdEeet0YmmfbMwkw,CF1,50.3902,5.2702,9.0063,3.1318,5.7549,7.7306
115,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912,5.2712,9.0073,3.1328,5.7129,7.7316
116,_SFJyFecdEeet0YmmfbMwkw,CF1,50.3982,5.2782,9.0143,3.1398,5.7559,7.7326
117,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002,5.2802,9.0163,3.1418,5.7209,7.7336
118,_SFLBsecdEeet0YmmfbMwkw,CF2,50.4092,5.2892,9.0253,3.1508,5.7569,7.7346
119,_SFLnRecdEeet0YmmfbMwkw,CF2,50.4112,5.2912,9.0273,3.1528,5.7309,7.7356
120,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152,5.2952,9.0313,3.1568,5.7579,7.7366
121,_SFM2T-cdEeet0YmmfbMwkw,CF2,50.4162,5.2962,9.0323,3.1578,5.7349,7.7376
122,_SFNdAucdEeet0YmmfbMwkw,CF2,41.3994,4.8594,8.0287,2.9204,5.2734,7.0875
123,_SFETG-cdEeet0YmmfbMwkw,CF1,27.9549,4.1915,6.4551,2.5722,4.5405,6.0356
124,_SFGvd-cdEeet0YmmfbMwkw,CF1,27.9579,4.1945,6.4581,2.5852,4.5435,6.0386
125,_SFKZ1-cdEeet0YmmfbMwkw,CF2,27.9599,4.1965,6.4601,2.5762,4.5455,6.0406
126,_SFMOS-cdEeet0YmmfbMwkw,CF2,27.9649,4.2015,6.4651,2.5872,4.5505,6.0456
127,_SFE6ZucdEeet0YmmfbMwkw,CF1,26.3149,3.9751,6.1318,2.3793,4.3109,5.7663
128,_SFFhCOcdEeet0YmmfbMwkw,CF1,26.3249,3.9851,6.1418,2.5003,4.3209,5.7763
129,_SFGu0ecdEeet0YmmfbMwkw,CF1,26.3349,3.9951,6.1518,2.5023,4.3309,5.7863
130,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429,4.0031,6.1598,2.5043,4.3389,5.7943
131,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469,4.0071,6.1638,2.5063,4.3429,5.7983
132,_SFKZMecdEeet0YmmfbMwkw,CF1,26.3579,4.0181,6.1748,2.4143,4.3539,5.8093
133,_SFLAXecdEeet0YmmfbMwkw,CF2,26.3669,4.0271,6.1838,2.4233,4.3629,5.8183
134,_SFLBB-cdEeet0YmmfbMwkw,CF2,26.3719,4.0321,6.1888,2.4283,4.3679,5.8233
135,_SFLokecdEeet0YmmfbMwkw,CF2,26.3849,4.0451,6.2018,2.5093,4.3809,5.8363
136,_SFMPZecdEeet0YmmfbMwkw,CF2,26.3899,4.0501,6.2068,2.5103,4.3859,5.8413
137,_SFMQD-cdEeet0YmmfbMwkw,CF2,26.3939,4.0541,6.2108,2.5113,4.3899,5.8453
138,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.101,3.1601,4.4212,1.8893,3.3627,4.4609
139,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104,3.1631,4.4222,1.8923,3.3657,4.4619
140,_SFLn7ecdEeet0YmmfbMwkw,CF2,14.109,3.1681,4.4232,1.8973,3.3707,4.4629
141,_SFM29-cdEeet0YmmfbMwkw,CF2,14.111,3.1701,4.4242,1.8993,3.3727,4.4639
142,_SFNdpOcdEeet0YmmfbMwkw,CF3,97.798,6.8719,13.1175,3.8532,7.1977,9.7761
143,_SFSVCecdEeet0YmmfbMwkw,CF3,97.8,6.8739,13.1195,3.8552,7.1997,9.7781
144,_SEtGGecdEeet0YmmfbMwkw,CF3,97.77,6.8449,13.0905,3.8262,7.1707,9.7481
145,_SEuUWecdEeet0YmmfbMwkw,CF3,97.771,6.8459,13.0915,3.8272,7.1717,9.7491
146,_SFOEm-cdEeet0YmmfbMwkw,CF3,493.5122,27.0656,65.8371,11.4313,25.0058,33.2578
147,_SFSW0ucdEeet0YmmfbMwkw,CF3,1422.1778,73.2245,186.0267,29.0038,65.7543,87.0805
148,_SFOFPucdEeet0YmmfbMwkw,CF3,50.4232,5.3032,9.0393,3.1648,5.7419,7.7176
149,_SFS8aOcdEeet0YmmfbMwkw,CF3,50.4272,5.3072,9.0433,3.1688,5.7459,7.7216
150,_SFOsJecdEeet0YmmfbMwkw,CF3,786.0234,59.7036,137.7181,28.2657,64.2359,84.9475
151,_SFS-WucdEeet0YmmfbMwkw,CF3,788.4983,59.8187,138.0004,28.3217,64.3648,85.1335
152,_SFOq2-cdEeet0YmmfbMwkw,CF3,985.6651,84.9623,191.0732,42.6085,97.6261,128.9324
153,_SFS9EOcdEeet0YmmfbMwkw,CF3,988.8471,85.1318,191.4752,42.6969,97.8295,129.2259
154,_SFOD9OcdEeet0YmmfbMwkw,CF3,26.4019,4.0621,6.2188,2.4533,4.3979,5.8533
155,_SFOrf-cdEeet0YmmfbMwkw,CF3,26.4109,4.0711,6.2278,2.4623,4.4069,5.8623
156,_SFSWK-cdEeet0YmmfbMwkw,CF3,26.4269,4.0871,6.2438,2.4783,4.4229,5.8783
157,_SFS9tOcdEeet0YmmfbMwkw,CF3,26.4199,4.0801,6.2368,2.4713,4.4159,5.8713
158,_SFODducdEeet0YmmfbMwkw,CF3,15.637,3.2812,4.667,1.9711,3.5041,4.6609
159,_SFSVrecdEeet0YmmfbMwkw,CF3,15.644,3.2882,4.674,1.9781,3.5111,4.6679
160,_SExYNOcdEeet0YmmfbMwkw,CF1,50.3692,5.2492,8.9853,3.1108,5.6929,7.6726
161,_SEx_KecdEeet0YmmfbMwkw,CF2,28.4729,4.234,6.5324,2.6035,4.5867,6.0942
162,_SEymGucdEeet0YmmfbMwkw,CF3,26.2629,3.9231,6.0798,2.3343,4.2589,5.7143
163,_SEzNDecdEeet0YmmfbMwkw,CF3,26.2679,3.9281,6.0848,2.3383,4.2639,5.7193
164,_SEz0VucdEeet0YmmfbMwkw,CF3,26.2659,3.9261,6.0828,2.3363,4.2619,5.7173
165,_SE8-O-cdEeet0YmmfbMwkw,CF1,97.765,6.8399,13.0855,3.8212,7.1657,9.7431
166,_SE_a_OcdEeet0YmmfbMwkw,CF2,97.769,6.8439,13.0895,3.8252,7.1697,9.7471
167,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512,5.2312,8.9673,3.0928,5.7529,7.7286
168,_SE-MhecdEeet0YmmfbMwkw,CF1,50.3522,5.2322,8.9683,3.0938,5.6759,7.6556
169,_SFAodecdEeet0YmmfbMwkw,CF2,50.3762,5.2562,8.9923,3.1178,5.7539,7.7296
170,_SFBPhucdEeet0YmmfbMwkw,CF2,49.8502,5.2116,8.916,3.0831,5.6547,7.6254
171,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749,4.236,6.5344,2.6055,4.5887,6.0962
172,_SE8XmecdEeet0YmmfbMwkw,CF1,27.9399,4.1765,6.4401,2.5582,4.5255,6.0206
173,_SE_aWucdEeet0YmmfbMwkw,CF2,27.9419,4.1785,6.4421,2.5602,4.5275,6.0226
