,Optimal_Affected_Component,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
0,Query Service,_SEwwu-cdEeet0YmmfbMwkw,CF1,638.4603,25.2678,25.2678,2.8051,6.4591,9.3185
1,Last Second Sales Item Filter,_SExXrOcdEeet0YmmfbMwkw,CF2,96.6743,9.8323,9.8323,1.9853,4.5713,6.5951
2,Buy Now Item Filter,_SEx_ROcdEeet0YmmfbMwkw,CF5,111.1947,10.5449,10.5449,2.0461,4.7113,6.7969
3,Availability Item Filter,_SEymNucdEeet0YmmfbMwkw,CF5,36.9124,6.0756,6.0756,1.5672,3.6085,5.206
4,Past Sales Item Filter,_SEx-n-cdEeet0YmmfbMwkw,CF3,96.9601,9.8468,9.8468,1.9866,4.5743,6.5993
5,Query Service,_SE9lfucdEeet0YmmfbMwkw,CF2,638.4603,25.2678,25.2678,2.8051,6.4591,9.3185
6,Query Service,_SFB3SOcdEeet0YmmfbMwkw,CF5,498.2634,22.3218,22.3218,2.6975,6.2111,8.9608
7,Persistence Service,_SE9k3OcdEeet0YmmfbMwkw,CF1,257.7941,16.056,16.056,2.4113,5.5522,8.0101
8,Reputation Service,_SE8-M-cdEeet0YmmfbMwkw,CF1,224.4357,14.9812,14.9812,2.3511,5.4136,7.8102
9,Bid and Buy Service,_SE8W5-cdEeet0YmmfbMwkw,CF1,192.0054,13.8566,13.8566,2.2833,5.2575,7.585
10,Inventory Service,_SE8Xj-cdEeet0YmmfbMwkw,CF1,176.5041,13.2855,13.2855,2.2468,5.1733,7.4636
11,Persistence Service,_SFB2pucdEeet0YmmfbMwkw,CF5,204.8702,14.3133,14.3133,2.3115,5.3224,7.6786
12,Buy Now Item Filter,_SE-zR-cdEeet0YmmfbMwkw,CF2,129.7531,11.3909,11.3909,2.1131,4.8656,7.0196
13,Item Management Service,_SE7ImecdEeet0YmmfbMwkw,CF1,119.1233,10.9144,10.9144,2.076,4.7802,6.8963
14,Region Item Filter,_SE_adecdEeet0YmmfbMwkw,CF2,103.0166,10.1497,10.1497,2.0129,4.6349,6.6867
15,Past Sales Item Filter,_SE-Mo-cdEeet0YmmfbMwkw,CF2,96.9601,9.8468,9.8468,1.9866,4.5743,6.5993
16,Last Second Sales Item Filter,_SE-L_ecdEeet0YmmfbMwkw,CF2,96.6743,9.8323,9.8323,1.9853,4.5713,6.5951
17,Buy Now Item Filter,_SFDE5OcdEeet0YmmfbMwkw,CF5,111.1947,10.5449,10.5449,2.0461,4.7113,6.7969
18,Past Sales Item Filter,_SFCeYOcdEeet0YmmfbMwkw,CF5,86.6743,9.3099,9.3099,1.9379,4.4622,6.4375
19,User Management Service,_SE_a1OcdEeet0YmmfbMwkw,CF3,282.1874,16.7984,16.7984,2.4505,5.6426,8.1405
20,Region Item Filter,_SFDr9ucdEeet0YmmfbMwkw,CF5,81.9171,9.0508,9.0508,1.9134,4.4057,6.3561
21,Last Second Sales Item Filter,_SFCduucdEeet0YmmfbMwkw,CF5,73.6381,8.5813,8.5813,1.8671,4.2992,6.2024
22,Reputation Service,_SFBPgOcdEeet0YmmfbMwkw,CF3,224.4357,14.9812,14.9812,2.3511,5.4136,7.8102
23,Availability Item Filter,_SE-z7OcdEeet0YmmfbMwkw,CF2,45.103,6.7159,6.7159,1.6542,3.8089,5.4952
24,Bid and Buy Service,_SFAodecdEeet0YmmfbMwkw,CF3,192.0054,13.8566,13.8566,2.2833,5.2575,7.585
25,Inventory Service,_SFApHecdEeet0YmmfbMwkw,CF3,176.5041,13.2855,13.2855,2.2468,5.1733,7.4636
26,Authentication Service,_SE7wCucdEeet0YmmfbMwkw,CF1,160.8801,12.6839,12.6839,2.2065,5.0807,7.3298
27,Authentication Service,_SFACCecdEeet0YmmfbMwkw,CF3,160.8801,12.6839,12.6839,2.2065,5.0807,7.3298
28,Availability Item Filter,_SFDFiecdEeet0YmmfbMwkw,CF5,36.9124,6.0756,6.0756,1.5672,3.6085,5.206
29,Item Management Service,_SFABYucdEeet0YmmfbMwkw,CF3,119.1233,10.9144,10.9144,2.076,4.7802,6.8963
30,Query Service,_SFGIEOcdEeet0YmmfbMwkw,CF1,638.4603,25.2678,25.2678,2.8051,6.4591,9.3185
31,Query Service,_SFLAhecdEeet0YmmfbMwkw,CF2,638.4603,25.2678,25.2678,2.8051,6.4591,9.3185
32,Query Service,_SFS8fOcdEeet0YmmfbMwkw,CF5,498.2634,22.3218,22.3218,2.6975,6.2111,8.9608
33,User Management Service,_SFJK8ecdEeet0YmmfbMwkw,CF2,282.1874,16.7984,16.7984,2.4505,5.6426,8.1405
34,Persistence Service,_SFFhxOcdEeet0YmmfbMwkw,CF1,257.7941,16.056,16.056,2.4113,5.5522,8.0101
35,Persistence Service,_SFKad-cdEeet0YmmfbMwkw,CF2,257.7941,16.056,16.056,2.4113,5.5522,8.0101
36,Reputation Service,_SFFhHucdEeet0YmmfbMwkw,CF1,224.4357,14.9812,14.9812,2.3511,5.4136,7.8102
37,Reputation Service,_SFKZ0ecdEeet0YmmfbMwkw,CF2,224.4357,14.9812,14.9812,2.3511,5.4136,7.8102
38,Bid and Buy Service,_SFE52ucdEeet0YmmfbMwkw,CF1,192.0054,13.8566,13.8566,2.2833,5.2575,7.585
39,Bid and Buy Service,_SFJzVecdEeet0YmmfbMwkw,CF2,192.0054,13.8566,13.8566,2.2833,5.2575,7.585
40,Inventory Service,_SFE6gucdEeet0YmmfbMwkw,CF1,176.5041,13.2855,13.2855,2.2468,5.1733,7.4636
41,Inventory Service,_SFKZLecdEeet0YmmfbMwkw,CF2,176.5041,13.2855,13.2855,2.2468,5.1733,7.4636
42,User Management Service,_SFOqv-cdEeet0YmmfbMwkw,CF5,237.7464,15.419,15.419,2.3761,5.4712,7.8933
43,Persistence Service,_SFSW5-cdEeet0YmmfbMwkw,CF5,204.8702,14.3133,14.3133,2.3115,5.3224,7.6786
44,Reputation Service,_SFSWQecdEeet0YmmfbMwkw,CF5,194.6543,13.9519,13.9519,2.2893,5.2712,7.6048
45,Buy Now Item Filter,_SFGviOcdEeet0YmmfbMwkw,CF1,129.7531,11.3909,11.3909,2.1131,4.8656,7.0196
46,Buy Now Item Filter,_SFLnaOcdEeet0YmmfbMwkw,CF2,129.7531,11.3909,11.3909,2.1131,4.8656,7.0196
47,Bid and Buy Service,_SFSU9ecdEeet0YmmfbMwkw,CF5,171.7497,13.1053,13.1053,2.2349,5.146,7.4242
48,Item Management Service,_SFDs_-cdEeet0YmmfbMwkw,CF1,119.1233,10.9144,10.9144,2.076,4.7802,6.8963
49,Item Management Service,_SFJyC-cdEeet0YmmfbMwkw,CF2,119.1233,10.9144,10.9144,2.076,4.7802,6.8963
50,Query Service,_SFNdBOcdEeet0YmmfbMwkw,CF3,638.4603,25.2678,25.2678,2.8051,6.4591,9.3185
51,Region Item Filter,_SFHV7OcdEeet0YmmfbMwkw,CF1,103.0166,10.1497,10.1497,2.0129,4.6349,6.6867
52,Past Sales Item Filter,_SFGu4-cdEeet0YmmfbMwkw,CF1,96.9601,9.8468,9.8468,1.9866,4.5743,6.5993
53,Past Sales Item Filter,_SFLBz-cdEeet0YmmfbMwkw,CF2,96.9601,9.8468,9.8468,1.9866,4.5743,6.5993
54,Last Second Sales Item Filter,_SFGItOcdEeet0YmmfbMwkw,CF1,96.6743,9.8323,9.8323,1.9853,4.5713,6.5951
55,Last Second Sales Item Filter,_SFLBKecdEeet0YmmfbMwkw,CF2,96.6743,9.8323,9.8323,1.9853,4.5713,6.5951
56,Authentication Service,_SFOsEOcdEeet0YmmfbMwkw,CF5,132.1381,11.4951,11.4951,2.121,4.8838,7.0459
57,Inventory Service,_SFSVnecdEeet0YmmfbMwkw,CF5,129.5836,11.3835,11.3835,2.1126,4.8643,7.0177
58,Buy Now Item Filter,_SFTjDOcdEeet0YmmfbMwkw,CF5,111.1947,10.5449,10.5449,2.0461,4.7113,6.7969
59,Item Management Service,_SFOraecdEeet0YmmfbMwkw,CF5,96.463,9.8216,9.8216,1.9844,4.5692,6.5919
60,Past Sales Item Filter,_SFS9xucdEeet0YmmfbMwkw,CF5,86.6743,9.3099,9.3099,1.9379,4.4622,6.4375
61,User Management Service,_SFLpEecdEeet0YmmfbMwkw,CF3,282.1874,16.7984,16.7984,2.4505,5.6426,8.1405
62,Region Item Filter,_SFOFa-cdEeet0YmmfbMwkw,CF5,81.9171,9.0508,9.0508,1.9134,4.4057,6.3561
63,Persistence Service,_SFNcYucdEeet0YmmfbMwkw,CF3,257.7941,16.056,16.056,2.4113,5.5522,8.0101
64,Last Second Sales Item Filter,_SFS9IOcdEeet0YmmfbMwkw,CF5,73.6381,8.5813,8.5813,1.8671,4.2992,6.2024
65,Reputation Service,_SFM2W-cdEeet0YmmfbMwkw,CF3,224.4357,14.9812,14.9812,2.3511,5.4136,7.8102
66,Availability Item Filter,_SFGwLecdEeet0YmmfbMwkw,CF1,45.103,6.7159,6.7159,1.6542,3.8089,5.4952
67,Availability Item Filter,_SFLoDecdEeet0YmmfbMwkw,CF2,45.103,6.7159,6.7159,1.6542,3.8089,5.4952
68,Bid and Buy Service,_SFMQGecdEeet0YmmfbMwkw,CF3,192.0054,13.8566,13.8566,2.2833,5.2575,7.585
69,Inventory Service,_SFM1t-cdEeet0YmmfbMwkw,CF3,176.5041,13.2855,13.2855,2.2468,5.1733,7.4636
70,Authentication Service,_SFETBucdEeet0YmmfbMwkw,CF1,160.8801,12.6839,12.6839,2.2065,5.0807,7.3298
71,Authentication Service,_SFJysucdEeet0YmmfbMwkw,CF2,160.8801,12.6839,12.6839,2.2065,5.0807,7.3298
72,Authentication Service,_SFMPducdEeet0YmmfbMwkw,CF3,160.8801,12.6839,12.6839,2.2065,5.0807,7.3298
73,Buy Now Item Filter,_SFOEIecdEeet0YmmfbMwkw,CF3,129.7531,11.3909,11.3909,2.1131,4.8656,7.0196
74,Availability Item Filter,_SFOExucdEeet0YmmfbMwkw,CF5,36.9124,6.0756,6.0756,1.5672,3.6085,5.206
75,Availability Item Filter,_SEtGLecdEeet0YmmfbMwkw,CF5,36.9124,6.0756,6.0756,1.5672,3.6085,5.206
76,Item Management Service,_SFMOz-cdEeet0YmmfbMwkw,CF3,119.1233,10.9144,10.9144,2.076,4.7802,6.8963
77,Region Item Filter,_SFLosucdEeet0YmmfbMwkw,CF3,103.0166,10.1497,10.1497,2.0129,4.6349,6.6867
78,Past Sales Item Filter,_SFODfOcdEeet0YmmfbMwkw,CF3,96.9601,9.8468,9.8468,1.9866,4.5743,6.5993
79,Last Second Sales Item Filter,_SFNdqOcdEeet0YmmfbMwkw,CF3,96.6743,9.8323,9.8323,1.9853,4.5713,6.5951
80,Buy Now Item Filter,_SEx-pOcdEeet0YmmfbMwkw,CF2,194.6297,13.951,13.951,2.2892,5.2711,7.6046
81,Last Second Sales Item Filter,_SExXrOcdEeet0YmmfbMwkw,CF1,96.6743,9.8323,9.8323,1.9853,4.5713,6.5951
82,Region Item Filter,_SEzz1-cdEeet0YmmfbMwkw,CF5,81.9171,9.0508,9.0508,1.9134,4.4057,6.3561
83,Availability Item Filter,_SEymNucdEeet0YmmfbMwkw,CF5,37.2559,6.1038,6.1038,1.5712,3.6178,5.2194
84,Buy Now Item Filter,_SEx_ROcdEeet0YmmfbMwkw,CF3,111.1947,10.5449,10.5449,2.0461,4.7113,6.7969
85,Query Service,_SE9lfucdEeet0YmmfbMwkw,CF1,638.4603,25.2678,25.2678,2.8051,6.4591,9.3185
86,Query Service,_SFB3SOcdEeet0YmmfbMwkw,CF5,502.9424,22.4264,22.4264,2.7015,6.2205,8.9742
87,Persistence Service,_SE9k3OcdEeet0YmmfbMwkw,CF1,257.7941,16.056,16.056,2.4113,5.5522,8.0101
88,Reputation Service,_SE8-M-cdEeet0YmmfbMwkw,CF1,224.4357,14.9812,14.9812,2.3511,5.4136,7.8102
89,Bid and Buy Service,_SE7wDecdEeet0YmmfbMwkw,CF1,192.0054,13.8566,13.8566,2.2833,5.2575,7.585
90,Bid and Buy Service,_SE8W5-cdEeet0YmmfbMwkw,CF1,192.0054,13.8566,13.8566,2.2833,5.2575,7.585
91,Inventory Service,_SE8Xj-cdEeet0YmmfbMwkw,CF1,176.5041,13.2855,13.2855,2.2468,5.1733,7.4636
92,User Management Service,_SFDsVecdEeet0YmmfbMwkw,CF5,237.7464,15.419,15.419,2.3761,5.4712,7.8933
93,Buy Now Item Filter,_SE-zR-cdEeet0YmmfbMwkw,CF2,129.7531,11.3909,11.3909,2.1131,4.8656,7.0196
94,Item Management Service,_SE_a3ucdEeet0YmmfbMwkw,CF2,119.1233,10.9144,10.9144,2.076,4.7802,6.8963
95,Region Item Filter,_SE_adecdEeet0YmmfbMwkw,CF2,103.0166,10.1497,10.1497,2.0129,4.6349,6.6867
96,Past Sales Item Filter,_SE-Mo-cdEeet0YmmfbMwkw,CF2,96.9601,9.8468,9.8468,1.9866,4.5743,6.5993
97,Last Second Sales Item Filter,_SE-L_ecdEeet0YmmfbMwkw,CF2,96.6743,9.8323,9.8323,1.9853,4.5713,6.5951
98,Buy Now Item Filter,_SFDE5OcdEeet0YmmfbMwkw,CF5,112.2437,10.5945,10.5945,2.0502,4.7207,6.8105
99,Persistence Service,_SFBPhucdEeet0YmmfbMwkw,CF3,309.3529,17.5884,17.5884,2.4905,5.7345,8.2731
100,Past Sales Item Filter,_SFCeYOcdEeet0YmmfbMwkw,CF5,87.4475,9.3513,9.3513,1.9417,4.471,6.4503
101,Region Item Filter,_SFDr9ucdEeet0YmmfbMwkw,CF5,82.6802,9.0929,9.0929,1.9174,4.415,6.3695
102,Last Second Sales Item Filter,_SFCduucdEeet0YmmfbMwkw,CF5,74.3532,8.6228,8.6228,1.8713,4.3088,6.2163
103,Inventory Service,_SFAofecdEeet0YmmfbMwkw,CF3,235.3389,15.3408,15.3408,2.3717,5.461,7.8786
